,Disease A,Disease B,Epidemiological network,Genetic network,Shared drugs
10,F12,F14,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
11,F13,F19,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
12,F10,F14,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
13,F14,F19,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
14,J44,J43,False,False,"{'Ipratropium', 'Olodaterol', 'Arformoterol', 'Aclidinium', 'Indacaterol'}"
15,F17,F12,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
16,I42,I48,False,False,"{'Phenindione', 'Warfarin'}"
17,C18,D12,False,False,{'Raltitrexed'}
18,J45,L20,False,False,{'Tranilast'}
19,J45,J43,False,False,"{'Bambuterol', 'Oxtriphylline', 'Aminophylline', 'Vilanterol', 'Orciprenaline', 'Olodaterol', 'Theophylline', 'Dyphylline', 'Fluticasone furoate'}"
20,G47,F51,False,False,"{'Armodafinil', 'Pimavanserin', 'Aceprometazine', 'Melatonin', 'Amitriptyline'}"
21,E10,E14,False,False,"{'Glipizide', 'Miglitol', 'Tolbutamide'}"
22,G30,F03,False,False,"{'Galantamine', 'Phosphatidyl serine'}"
23,F12,F15,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
24,F13,F14,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
25,I20,I21,False,False,{'Metoprolol'}
26,F19,F11,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
27,E06,E03,False,False,"{'Liothyronine', 'Liotrix', 'Levothyroxine', 'Thyroid, porcine'}"
28,F12,F11,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
29,I20,I50,False,False,"{'Metoprolol', 'Dalteparin', 'Bisoprolol'}"
30,K58,K59,False,False,"{'Lubiprostone', 'Tegaserod', 'Linaclotide', 'Plantago seed', 'Methyl cellulose'}"
31,F10,F11,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
32,F15,F19,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
33,N18,N25,False,False,"{'Calcitriol', 'Cholecalciferol', 'Calcidiol'}"
34,N18,N19,False,False,"{'Calcitriol', 'Cholecalciferol', 'Calcidiol'}"
35,J44,J45,False,False,"{'Levosalbutamol', 'Olodaterol', 'Salmeterol', 'Doxofylline', 'Procaterol'}"
36,M32,L93,False,False,"{'Acetylsalicylic acid', 'Belimumab', 'Prednisone', 'Hydroxychloroquine', 'Prednisolone'}"
37,F12,F19,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
38,F10,F19,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
39,M06,M13,False,False,"{'Abatacept', 'Tofacitinib', 'Aurothioglucose', 'Baricitinib', 'Acemetacin', 'D-alpha-Tocopherol acetate', 'Tenoxicam', 'Aceclofenac', 'Cystine', 'Piroxicam', 'Naproxen', 'Talniflumate', 'Infliximab', 'Celecoxib', 'Meclofenamic acid', 'Salsalate', 'Tocilizumab', 'Methylprednisolone', 'Gelatin', 'Vitamin E', 'Rituximab', 'Diflunisal', 'Acetylsalicylic acid', 'Cyclosporine', 'Mefenamic acid', 'Etoricoxib', 'Golimumab', 'Samarium (153Sm) lexidronam', 'Immune Globulin Human', 'Ibuprofen', 'Dexibuprofen', 'Anakinra', 'Histidine', 'Leflunomide', 'Tolmetin', 'Sulindac', 'Etodolac', 'Flurbiprofen', 'Certolizumab pegol', 'Methotrexate', 'Ketoprofen', 'Hydroxychloroquine', 'Temsirolimus', 'Etanercept', 'Prednisolone', 'Azathioprine', 'Indomethacin', 'Auranofin', 'Nabumetone', 'Adalimumab', 'Rofecoxib', 'Niflumic Acid', 'Sulfasalazine', 'Fenoprofen', 'Oxaprozin', 'Alclofenac', 'Chloroquine', 'Diclofenac', 'Penicillamine'}"
40,F13,F11,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
41,C80,D48,False,False,"{'Mitomycin', 'Aminoglutethimide'}"
42,E10,E11,False,False,"{'Glipizide', 'Miglitol', 'Tolbutamide'}"
43,J43,J42,False,False,"{'Aminophylline', 'Vilanterol', 'Ipratropium', 'Orciprenaline', 'Olodaterol', 'Theophylline', 'Arformoterol', 'Dyphylline', 'Fluticasone furoate', 'Indacaterol', 'Aclidinium'}"
44,F12,F20,False,False,"{'Quetiapine', 'Olanzapine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
45,N17,N19,False,False,{'Dalteparin'}
46,F10,F20,False,False,"{'Quetiapine', 'Olanzapine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
47,E11,E14,False,False,"{'Glipizide', 'Miglitol', 'Tolbutamide'}"
48,G20,G21,False,False,{'Levodopa'}
49,F12,F13,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
50,F10,F13,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
51,C92,D46,False,False,{'Lipegfilgrastim'}
52,E06,G70,False,True,{'Prednisone'}
53,K51,N03,False,True,"{'Tofacitinib', 'Kappadione', 'Budesonide', 'Infliximab'}"
54,F14,F18,False,True,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
55,N03,N00,False,True,"{'Hydroflumethiazide', 'Bexarotene', 'Infliximab', 'Ancestim', 'Eribulin', 'Icotinib', 'Aprepitant', 'Galactose', 'Olaratumab', 'Coagulation factor VII human', 'Florbetaben (18F)', 'Moxisylyte', 'Phentolamine', 'Natural alpha interferon', 'Normethadone', 'Temsirolimus', 'Torasemide', 'Talimogene laherparepvec', 'Idelalisib', 'Hyaluronidase (Human Recombinant)', 'Secukinumab', 'Hydroxocobalamin', 'Ethinamate', 'Abatacept', 'Benzathine benzylpenicillin', 'Oxymetholone', 'Pembrolizumab', 'Asparaginase Erwinia chrysanthemi', 'Dermatophagoides farinae', 'Magnesium acetate tetrahydrate', 'Lomustine', 'Dexmethylphenidate', 'Afatinib', 'Bicisate', 'Ertugliflozin', 'Guanfacine', 'Nonoxynol-9', 'Erythropoietin', 'Atazanavir', 'Carboprost Tromethamine', 'Methotrexate', 'Travoprost', 'Nabiximols', 'Lenograstim', 'Salmon Calcitonin', 'Pyrazinamide', 'Nelfinavir', 'Cobicistat', 'Glycyrrhizic acid', 'Hydroxystilbamidine Isethionate', 'Fencamfamine', 'Tipiracil', 'Etravirine', 'Furosemide', 'Pazopanib', 'Etoposide', 'Prednisone', 'Dexibuprofen', 'Monopotassium phosphate', 'Human vaccinia virus immune globulin', 'Dermatophagoides pteronyssinus', 'Droxidopa', 'Cyclothiazide', 'Iodine', 'Medium-chain triglycerides', 'Fomivirsen', 'Lindane', 'Hexobarbital', 'Clarithromycin', 'Asparaginase Escherichia coli', 'Levomefolic acid', 'Dimetindene', 'Vigabatrin', 'Indium In-111 chloride', 'Ampicillin', 'Capreomycin', 'Dyclonine', 'Vinflunine', 'Methylphenidate', 'Regorafenib', 'Oxygen', 'Amprenavir', 'Carbon dioxide', 'Somatostatin', 'Mipomersen', 'Oxcarbazepine', 'Efalizumab', 'Caspofungin', 'Delamanid', 'Amitriptyline', 'Potassium Iodide', 'Floxuridine', 'Levonorgestrel', 'Darunavir', 'Peginterferon alfa-2b', 'Diloxanide', 'Meticillin', 'Hydrocodone', 'Budesonide', 'Trimethadione', 'Ribavirin', 'Propanoic acid', 'Ferric sulfate', 'Rosuvastatin', 'Potassium', 'Amiodarone', 'Moxonidine', 'Filgrastim', 'alpha-Tocopherol acetate', 'Doxorubicin', 'Rilpivirine', 'Thonzylamine', 'Flunitrazepam', 'Fosnetupitant', 'Panitumumab', 'Besilesomab', 'Hexachlorophene', 'Protein S human', 'Sodium stibogluconate', 'Clindamycin', 'Safinamide', 'Telmisartan', 'Beta carotene', 'Paramethadione', 'Methyl cellulose', 'Phenindamine', 'Calcium levulinate', 'Ticlopidine', 'Hexylresorcinol', 'Flecainide', 'Sulfisoxazole', 'Elvitegravir', 'Bioallethrin', 'Emtricitabine', 'Dactinomycin', 'Bacitracin', 'Ifosfamide', 'Ustekinumab', 'Docetaxel', 'Zotepine', 'Cannabidiol', 'Captopril', 'Fluoride ion F-18', 'Rasagiline', 'Abacavir', 'Trabectedin', 'Tegafur', 'Hydroxyethyl Starch', 'Zinc oxide', 'Lamotrigine', 'Metolazone', 'Peginterferon alfa-2a', 'Eprosartan', 'Penbutolol', 'Fish oil', 'Remestemcel-L', 'Dacarbazine', 'Tetrabenazine', 'Cresol', 'Guselkumab', 'Nivolumab', 'Abemaciclib', 'Indapamide', 'Zidovudine', 'Bromodiphenhydramine', 'Haloperidol', 'Methyclothiazide', 'Cetuximab', 'Procarbazine', 'Ixekizumab', 'Asunaprevir', 'Sofosbuvir', 'Neomycin', 'Mifamurtide', 'Testosterone undecanoate', 'Lymecycline', 'Tenofovir disoproxil', 'Durvalumab', 'Tofacitinib', 'Cetylpyridinium', 'Sodium glycerophosphate', 'Levoleucovorin', 'Thiotepa', 'Talc', 'Isocarboxazid', 'Triprolidine', 'Vinorelbine', 'Gadobenic acid', 'Didanosine', 'Cycloserine', 'Netupitant', 'Iohexol', 'Phenelzine', 'Bovine type I collagen', 'Octreotide', 'Unoprostone', 'Hepatitis B Vaccine (Recombinant)', 'Raltegravir', 'Axicabtagene ciloleucel', 'Piracetam', 'Dinoprostone', 'Anidulafungin', 'Doxylamine', 'Ethchlorvynol', 'Labetalol', 'Bimatoprost', 'Lasofoxifene', 'Ethionamide', 'Tretinoin', 'Obeticholic acid', 'Trimethoprim', 'Lipegfilgrastim', 'Palonosetron', 'Thrombomodulin Alfa', 'Hesperetin', 'Tetrachlorodecaoxide', 'Omega-3-carboxylic acids', 'Amiloride', 'Stem bromelain', 'Human cytomegalovirus immune globulin', 'Cyclizine', 'Melphalan', 'Pancrelipase', 'Perboric acid', 'Oprelvekin', 'Methsuximide', 'Nicoboxil', 'Methocarbamol', 'Allopurinol', 'Pemetrexed', 'Fosamprenavir', 'Lopinavir', 'Hyaluronic acid', 'Ondansetron', 'Phenazopyridine', 'Rolapitant', 'Ivacaftor', 'Proguanil', 'Misoprostol', 'Saxagliptin', 'Cantharidin', 'Fludeoxyglucose F-18', 'Baricitinib', 'Suramin', 'Tolcapone', 'Hyaluronidase', 'Hepatitis A Vaccine', 'Bromocriptine', 'Tamibarotene', 'Megestrol acetate', 'Bismuth Subsalicylate', 'Kappadione', 'Carboplatin', 'Niraparib', 'Brentuximab vedotin', 'Polysilicone-15', 'Pseudoephedrine', 'Cabergoline', 'Temoporfin', 'Angiotensin II', 'Triflusal', 'Florbetapir (18F)', 'Domiphen', 'Riociguat', 'Salbutamol', 'Olaparib', 'Chlorthalidone', 'Pegfilgrastim', 'Rasburicase', 'Ixabepilone', 'Peppermint oil', 'Estrogens, esterified', 'Mecasermin', 'Thiopental', 'Oxybenzone', 'Aurothioglucose', 'Isoflurophate', 'Capecitabine', 'Acetylcholine', 'Ubidecarenone', 'Cinnarizine', 'Streptomycin', 'alpha-Tocopherol succinate', 'Selegiline', 'Novobiocin', 'Flutemetamol (18F)', 'Nabilone', 'Magnesium gluconate', 'Dolutegravir', 'Dronabinol', 'Atezolizumab', 'Posaconazole', 'Benzoyl peroxide', 'Sipuleucel-T', 'Liotrix', 'Rucaparib', 'Chlorphenesin', 'Dalteparin', 'Tolnaftate', 'Omeprazole', 'Velpatasvir', 'Inotuzumab ozogamicin', 'Nelarabine', 'Resorcinol', 'Bufexamac', 'Xylose', 'Dolasetron', 'Theophylline', 'Lorpiprazole', 'Nisoldipine', 'Gefitinib', 'Dinutuximab', 'Nevirapine', 'Chlorothiazide', 'Strontium ranelate', 'Fosaprepitant', 'Griseofulvin', 'Pertuzumab', 'Acetylcarnitine', 'Defibrotide', 'Palifermin', 'Ritonavir', 'Hexocyclium', 'Lacidipine', 'Gemtuzumab ozogamicin', 'Buclizine', 'N-acetyltyrosine', 'Zalcitabine', 'Asenapine', 'Atomoxetine', 'Demeclocycline', 'Antipyrine', 'Azidocillin', 'Sarilumab', 'Melatonin', 'Sodium acetate', 'Micafungin', 'Ramucirumab', 'Cerivastatin', 'Pramocaine', 'Esmolol', 'Erlotinib', 'Ketamine', 'Chloropyramine', 'Sacubitril', 'Flumethasone'}"
56,G35,L20,False,True,{'Prednisone'}
57,F17,F18,False,True,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
58,L10,L51,False,True,{'Prednisone'}
59,I47,I48,False,True,{'Propafenone'}
60,I20,N19,False,True,{'Dalteparin'}
61,I73,I20,False,True,{'Lercanidipine'}
62,L10,M06,False,True,{'Prednisolone'}
63,L23,L30,False,True,{'Bentoquatam'}
64,K51,M06,False,True,"{'Prednisolone', 'Tofacitinib', 'Infliximab', 'Golimumab'}"
65,H20,E06,False,True,{'Prednisone'}
66,M32,L20,False,True,{'Prednisone'}
67,M06,D69,False,True,{'Immune Globulin Human'}
68,N03,N01,False,True,"{'Hydroflumethiazide', 'Bexarotene', 'Infliximab', 'Ancestim', 'Eribulin', 'Icotinib', 'Aprepitant', 'Galactose', 'Olaratumab', 'Coagulation factor VII human', 'Florbetaben (18F)', 'Moxisylyte', 'Phentolamine', 'Natural alpha interferon', 'Normethadone', 'Temsirolimus', 'Torasemide', 'Talimogene laherparepvec', 'Idelalisib', 'Hyaluronidase (Human Recombinant)', 'Secukinumab', 'Hydroxocobalamin', 'Ethinamate', 'Abatacept', 'Benzathine benzylpenicillin', 'Oxymetholone', 'Pembrolizumab', 'Asparaginase Erwinia chrysanthemi', 'Dermatophagoides farinae', 'Magnesium acetate tetrahydrate', 'Lomustine', 'Dexmethylphenidate', 'Afatinib', 'Bicisate', 'Ertugliflozin', 'Guanfacine', 'Nonoxynol-9', 'Erythropoietin', 'Atazanavir', 'Carboprost Tromethamine', 'Methotrexate', 'Travoprost', 'Nabiximols', 'Lenograstim', 'Salmon Calcitonin', 'Pyrazinamide', 'Nelfinavir', 'Cobicistat', 'Glycyrrhizic acid', 'Hydroxystilbamidine Isethionate', 'Fencamfamine', 'Tipiracil', 'Etravirine', 'Furosemide', 'Pazopanib', 'Etoposide', 'Prednisone', 'Dexibuprofen', 'Monopotassium phosphate', 'Human vaccinia virus immune globulin', 'Dermatophagoides pteronyssinus', 'Droxidopa', 'Cyclothiazide', 'Iodine', 'Medium-chain triglycerides', 'Fomivirsen', 'Lindane', 'Hexobarbital', 'Clarithromycin', 'Asparaginase Escherichia coli', 'Levomefolic acid', 'Dimetindene', 'Vigabatrin', 'Indium In-111 chloride', 'Ampicillin', 'Capreomycin', 'Dyclonine', 'Vinflunine', 'Methylphenidate', 'Regorafenib', 'Oxygen', 'Amprenavir', 'Carbon dioxide', 'Somatostatin', 'Mipomersen', 'Oxcarbazepine', 'Efalizumab', 'Caspofungin', 'Delamanid', 'Amitriptyline', 'Potassium Iodide', 'Floxuridine', 'Levonorgestrel', 'Darunavir', 'Peginterferon alfa-2b', 'Diloxanide', 'Meticillin', 'Hydrocodone', 'Budesonide', 'Trimethadione', 'Ribavirin', 'Propanoic acid', 'Ferric sulfate', 'Rosuvastatin', 'Potassium', 'Amiodarone', 'Moxonidine', 'Filgrastim', 'alpha-Tocopherol acetate', 'Doxorubicin', 'Rilpivirine', 'Thonzylamine', 'Flunitrazepam', 'Fosnetupitant', 'Panitumumab', 'Besilesomab', 'Hexachlorophene', 'Protein S human', 'Sodium stibogluconate', 'Clindamycin', 'Safinamide', 'Telmisartan', 'Beta carotene', 'Paramethadione', 'Methyl cellulose', 'Phenindamine', 'Calcium levulinate', 'Ticlopidine', 'Hexylresorcinol', 'Flecainide', 'Sulfisoxazole', 'Elvitegravir', 'Bioallethrin', 'Emtricitabine', 'Dactinomycin', 'Bacitracin', 'Ifosfamide', 'Ustekinumab', 'Docetaxel', 'Zotepine', 'Cannabidiol', 'Captopril', 'Fluoride ion F-18', 'Rasagiline', 'Abacavir', 'Trabectedin', 'Tegafur', 'Hydroxyethyl Starch', 'Zinc oxide', 'Lamotrigine', 'Metolazone', 'Peginterferon alfa-2a', 'Eprosartan', 'Penbutolol', 'Fish oil', 'Remestemcel-L', 'Dacarbazine', 'Tetrabenazine', 'Cresol', 'Guselkumab', 'Nivolumab', 'Abemaciclib', 'Indapamide', 'Zidovudine', 'Bromodiphenhydramine', 'Haloperidol', 'Methyclothiazide', 'Cetuximab', 'Procarbazine', 'Ixekizumab', 'Asunaprevir', 'Sofosbuvir', 'Neomycin', 'Mifamurtide', 'Testosterone undecanoate', 'Lymecycline', 'Tenofovir disoproxil', 'Durvalumab', 'Tofacitinib', 'Cetylpyridinium', 'Sodium glycerophosphate', 'Levoleucovorin', 'Thiotepa', 'Talc', 'Isocarboxazid', 'Triprolidine', 'Vinorelbine', 'Gadobenic acid', 'Didanosine', 'Cycloserine', 'Netupitant', 'Iohexol', 'Phenelzine', 'Bovine type I collagen', 'Octreotide', 'Unoprostone', 'Hepatitis B Vaccine (Recombinant)', 'Raltegravir', 'Axicabtagene ciloleucel', 'Piracetam', 'Dinoprostone', 'Anidulafungin', 'Doxylamine', 'Ethchlorvynol', 'Labetalol', 'Bimatoprost', 'Lasofoxifene', 'Ethionamide', 'Tretinoin', 'Obeticholic acid', 'Trimethoprim', 'Lipegfilgrastim', 'Palonosetron', 'Thrombomodulin Alfa', 'Hesperetin', 'Tetrachlorodecaoxide', 'Omega-3-carboxylic acids', 'Amiloride', 'Stem bromelain', 'Human cytomegalovirus immune globulin', 'Cyclizine', 'Melphalan', 'Pancrelipase', 'Perboric acid', 'Oprelvekin', 'Methsuximide', 'Nicoboxil', 'Methocarbamol', 'Allopurinol', 'Pemetrexed', 'Fosamprenavir', 'Lopinavir', 'Hyaluronic acid', 'Ondansetron', 'Phenazopyridine', 'Rolapitant', 'Ivacaftor', 'Proguanil', 'Misoprostol', 'Saxagliptin', 'Cantharidin', 'Fludeoxyglucose F-18', 'Baricitinib', 'Suramin', 'Tolcapone', 'Hyaluronidase', 'Hepatitis A Vaccine', 'Bromocriptine', 'Tamibarotene', 'Megestrol acetate', 'Bismuth Subsalicylate', 'Kappadione', 'Carboplatin', 'Niraparib', 'Brentuximab vedotin', 'Polysilicone-15', 'Pseudoephedrine', 'Cabergoline', 'Temoporfin', 'Angiotensin II', 'Triflusal', 'Florbetapir (18F)', 'Domiphen', 'Riociguat', 'Salbutamol', 'Olaparib', 'Chlorthalidone', 'Pegfilgrastim', 'Rasburicase', 'Ixabepilone', 'Peppermint oil', 'Estrogens, esterified', 'Mecasermin', 'Thiopental', 'Oxybenzone', 'Aurothioglucose', 'Isoflurophate', 'Capecitabine', 'Acetylcholine', 'Ubidecarenone', 'Cinnarizine', 'Streptomycin', 'alpha-Tocopherol succinate', 'Selegiline', 'Novobiocin', 'Flutemetamol (18F)', 'Nabilone', 'Magnesium gluconate', 'Dolutegravir', 'Dronabinol', 'Atezolizumab', 'Posaconazole', 'Benzoyl peroxide', 'Sipuleucel-T', 'Liotrix', 'Rucaparib', 'Chlorphenesin', 'Dalteparin', 'Tolnaftate', 'Omeprazole', 'Velpatasvir', 'Inotuzumab ozogamicin', 'Nelarabine', 'Resorcinol', 'Bufexamac', 'Xylose', 'Dolasetron', 'Theophylline', 'Lorpiprazole', 'Nisoldipine', 'Gefitinib', 'Dinutuximab', 'Nevirapine', 'Chlorothiazide', 'Strontium ranelate', 'Fosaprepitant', 'Griseofulvin', 'Pertuzumab', 'Acetylcarnitine', 'Defibrotide', 'Palifermin', 'Ritonavir', 'Hexocyclium', 'Lacidipine', 'Gemtuzumab ozogamicin', 'Buclizine', 'N-acetyltyrosine', 'Zalcitabine', 'Asenapine', 'Atomoxetine', 'Demeclocycline', 'Antipyrine', 'Azidocillin', 'Sarilumab', 'Melatonin', 'Sodium acetate', 'Micafungin', 'Ramucirumab', 'Cerivastatin', 'Pramocaine', 'Esmolol', 'Erlotinib', 'Ketamine', 'Chloropyramine', 'Sacubitril', 'Flumethasone'}"
69,L10,G35,False,True,{'Prednisone'}
70,D29,D40,False,True,"{'Dutasteride', 'Equilin', 'Buserelin', 'Estramustine', 'Enzalutamide', 'Leuprolide', 'Megestrol acetate', 'Degarelix', 'Goserelin', 'rsPSMA Vaccine', 'Samarium (153Sm) lexidronam', 'Denosumab', 'Estradiol valerate', 'Docetaxel', 'Abarelix', 'Radium Ra 223 Dichloride', 'Quinestrol', 'Histrelin', 'Nilutamide', 'Apalutamide', 'Estradiol', 'Flutamide', 'Melatonin', 'Choline C-11', 'Testosterone enanthate', 'Choline C 11', 'Fluciclovine (18F)', 'Diethylstilbestrol', 'Sipuleucel-T', 'Ixabepilone', 'Testosterone cypionate', 'Estrogens, esterified', 'Testosterone undecanoate', 'Capromab pendetide', 'Finasteride', 'Abiraterone', 'Cabazitaxel', 'Conjugated estrogens', 'Triptorelin', 'Toremifene'}"
71,A30,L52,False,True,{'Clofazimine'}
72,J20,J40,False,True,"{'Dirithromycin', 'Etafedrine', 'Cefixime', 'Pivampicillin', 'Telithromycin'}"
73,L51,L40,False,True,{'Prednisone'}
74,H20,L40,False,True,{'Prednisone'}
75,H20,H16,False,True,{'Prednisone'}
76,H20,L10,False,True,{'Prednisone'}
