,Trajectory,Drug,Disease list,Disease Consensus Name List
44,119,Homosalate,"['F70', 'D75', 'D52', 'F10', 'F22', 'G31', 'L21', 'C10', 'C13', 'E53', 'H10', 'I86', 'N62']","['mild mental retardation', 'diseases of blood and blood-forming organs', 'folate deficiency anaemia', 'mental and behavioural disorders due to use of alcohol', 'persistent delusional disorders', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'malignant neoplasm of oropharynx', 'malignant neoplasm of hypopharynx', 'deficiency of b group vitamins', 'conjunctivitis', 'varicose veins of specified sites', 'hypertrophy of breast']"
45,47,Ibritumomab tiuxetan,"['N12', 'N39']","['tubulo-interstitial nephritis', 'disorders of urinary system']"
46,205,Norgestrel,"['D52', 'J41', 'L71', 'F17', 'J42', 'J13', 'J39', 'K04', 'K08', 'K12', 'L08', 'N62']","['folate deficiency anaemia', 'simple and mucopurulent chronic bronchitis', 'rosacea', 'mental and behavioural disorders due to use of tobacco', 'chronic bronchitis', 'pneumonia due to streptococcus pneumoniae', 'diseases of upper respiratory tract', 'diseases of pulp and periapical tissues', 'disorders of teeth and supporting structures', 'stomatitis and related lesions', 'local infections of skin and subcutaneous tissue', 'hypertrophy of breast']"
47,11,Dolutegravir,"['C71', 'C79', 'H53']","['malignant neoplasm of brain', 'secondary malignant neoplasm of specified sites', 'visual disturbances']"
48,408,Gestrinone,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
49,55,Meprobamate,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
50,82_87,Clobetasone,"['F20', 'F25']","['schizophrenia', 'schizoaffective disorders']"
51,411,Arzoxifene,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
52,200,Aminocaproic Acid,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']"
53,3,Dienestrol,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
54,408,Oxaprozin,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
55,351,Gemfibrozil,"['A02', 'A48', 'A69', 'B07', 'B36', 'B44', 'B49', 'B86', 'C11', 'C26', 'C41', 'C45', 'C50', 'C60', 'C66', 'C69', 'C76', 'C84', 'C88', 'D03', 'D07', 'D31', 'D34', 'D51', 'D89', 'E07', 'E22', 'E23', 'E27', 'E46', 'E74', 'E85', 'F52', 'G24', 'G52', 'G90', 'G92', 'H21', 'H31', 'H55', 'H61', 'J02', 'J11', 'J12', 'J61', 'K11', 'K41', 'L25', 'L60', 'L80', 'L81', 'M12', 'M60', 'N11', 'N34', 'N36', 'N50']","['salmonella infections', 'bacterial diseases', 'spirochaetal infections', 'viral warts', 'superficial mycoses', 'aspergillosis', 'mycosis', 'scabies', 'malignant neoplasm of nasopharynx', 'malignant neoplasm of ill-defined digestive organs', 'malignant neoplasm of bone and articular cartilage of sites', 'mesothelioma', 'malignant neoplasm of breast', 'malignant neoplasm of penis', 'malignant neoplasm of ureter', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'peripheral and cutaneous t-cell lymphomas', 'malignant immunoproliferative diseases', 'melanoma in situ', 'carcinoma in situ of genital organs', 'benign neoplasm of eye and adnexa', 'benign neoplasm of thyroid gland', 'vitamin b12 deficiency anaemia', 'disorders involving the immune mechanism', 'disorders of thyroid', 'hyperfunction of pituitary gland', 'hypofunction and disorders of pituitary gland', 'disorders of adrenal gland', 'protein-energy malnutrition', 'disorders of carbohydrate metabolism', 'amyloidosis', 'sexual dysfunction', 'dystonia', 'disorders of cranial nerves', 'disorders of autonomic nervous system', 'toxic encephalopathy', 'disorders of iris and ciliary body', 'disorders of choroid', 'nystagmus and irregular eye movements', 'disorders of external ear', 'acute pharyngitis', 'influenza virus', 'viral pneumonia', 'pneumoconiosis due to asbestos and mineral fibres', 'diseases of salivary glands', 'femoral hernia', 'contact dermatitis', 'nail disorders', 'vitiligo', 'disorders of pigmentation', 'specific arthropathies', 'myositis', 'chronic tubulo-interstitial nephritis', 'urethritis and urethral syndrome', 'disorders of urethra', 'disorders of male genital organs']"
56,374,Esomeprazole,"['L95', 'C45', 'D89', 'E01', 'E72', 'G90', 'I10', 'I22', 'I33', 'I60', 'I78', 'J04', 'J13', 'K27', 'L08', 'L20', 'L21', 'L23', 'L29', 'L50', 'L71', 'L85', 'M05', 'M31', 'M45', 'M85', 'M96', 'N62']","['vasculitis limited to skin', 'mesothelioma', 'disorders involving the immune mechanism', 'iodine-deficiency-related thyroid disorders and allied conditions', 'disorders of amino-acid metabolism', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'acute laryngitis and tracheitis', 'pneumonia due to streptococcus pneumoniae', 'acute with perforation', 'local infections of skin and subcutaneous tissue', 'atopic dermatitis', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'urticaria', 'rosacea', 'epidermal thickening', 'seropositive rheumatoid arthritis', 'necrotising vasculopathies', 'ankylosing spondylitis', 'disorders of bone density and structure', 'postprocedural musculoskeletal disorders', 'hypertrophy of breast']"
57,110,Heroin,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
58,123,Etomidate,"['E13', 'H40', 'E11', 'G63', 'H25', 'H26', 'M86', 'N48', 'I79', 'L03']","['specified diabetes mellitus', 'glaucoma', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'senile cataract', 'cataract', 'osteomyelitis', 'disorders of penis', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis']"
59,77,Phenformin,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
60,228,Cimetidine,"['J41', 'J44', 'J47', 'G61', 'H10', 'J40', 'J82']","['simple and mucopurulent chronic bronchitis', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'inflammatory polyneuropathy', 'conjunctivitis', 'bronchitis', 'pulmonary eosinophilia']"
61,299,Amantadine,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']"
62,10,Gliclazide,"['J20', 'J30', 'J42', 'L30', 'D80']","['acute bronchitis', 'vasomotor and allergic rhinitis', 'chronic bronchitis', 'dermatitis', 'immunodeficiency with antibody defects']"
63,157_240,Warfarin,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
64,414,Proguanil,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas']"
65,10,Ketoconazole,"['J20', 'J30', 'J42', 'L30', 'D80']","['acute bronchitis', 'vasomotor and allergic rhinitis', 'chronic bronchitis', 'dermatitis', 'immunodeficiency with antibody defects']"
66,458,Isoflurane,"['M19', 'M25', 'M75']","['arthrosis', 'joint disorders', 'shoulder lesions']"
67,112,Albendazole,"['B16', 'B18', 'K73', 'C22']","['acute hepatitis b', 'chronic viral hepatitis', 'chronic hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts']"
68,67,Bendroflumethiazide,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']"
69,348,Tolcapone,"['N32', 'N40', 'N41', 'N21', 'N42']","['disorders of bladder', 'hyperplasia of prostate', 'inflammatory diseases of prostate', 'calculus of lower urinary tract', 'disorders of prostate']"
70,450,Rivastigmine,"['H36', 'E10', 'E13', 'E16', 'H26', 'H33', 'H35']","['retinal disorders in diseases classified elsewhere', 'insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks', 'retinal disorders']"
71,417,Levodopa,"['L84', 'N25', 'N18']","['corns and callosities', 'disorders resulting from impaired renal tubular function', 'chronic renal failure']"
72,15_73,Bifonazole,"['E10', 'E14', 'E16']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']"
73,408,Artemether,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
74,129,Etanercept,"['F17', 'G45', 'J15', 'J20', 'J93', 'L05']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'bacterial pneumonia', 'acute bronchitis', 'pneumothorax', 'pilonidal cyst']"
75,55,Avatrombopag,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
76,390,Caspofungin,"['G91', 'I60', 'D73', 'F52', 'G30', 'L28', 'E11', 'E55', 'F00', 'F05', 'H49', 'A48', 'C76', 'D34', 'H60', 'L08', 'M00', 'N04']","['hydrocephalus', 'subarachnoid haemorrhage', 'diseases of spleen', 'sexual dysfunction', ""alzheimer's disease"", 'lichen simplex chronicus and prurigo', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', ""dementia in alzheimer's disease"", 'delirium', 'paralytic strabismus', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'benign neoplasm of thyroid gland', 'otitis externa', 'local infections of skin and subcutaneous tissue', 'pyogenic arthritis', 'nephrotic syndrome']"
77,334,Propiverine,"['L28', 'K76', 'D73', 'E51', 'M89']","['lichen simplex chronicus and prurigo', 'diseases of liver', 'diseases of spleen', 'thiamine deficiency', 'disorders of bone']"
78,212,Rasagiline,"['F17', 'J01', 'J37', 'J38', 'J42', 'J43', 'J93', 'J02']","['mental and behavioural disorders due to use of tobacco', 'acute sinusitis', 'chronic laryngitis and laryngotracheitis', 'diseases of vocal cords and larynx', 'chronic bronchitis', 'emphysema', 'pneumothorax', 'acute pharyngitis']"
79,376,Dexrazoxane,"['E79', 'L82', 'H61', 'L21', 'M54', 'M79']","['disorders of purine and pyrimidine metabolism', 'seborrhoeic keratosis', 'disorders of external ear', 'seborrhoeic dermatitis', 'dorsalgia', 'soft tissue disorders']"
80,190,Trastuzumab emtansine,"['M54', 'G54', 'L50', 'M71', 'M76']","['dorsalgia', 'nerve root and plexus disorders', 'urticaria', 'bursopathies', 'enthesopathies of lower limb, excluding foot']"
81,216,Moexipril,"['H91', 'H93', 'H81', 'H90']","['hearing loss', 'disorders of ear', 'disorders of vestibular function', 'conductive and sensorineural hearing loss']"
82,110,Bifonazole,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
83,179,Rasagiline,"['C61', 'N32', 'N40', 'D40']","['malignant neoplasm of prostate', 'disorders of bladder', 'hyperplasia of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs']"
84,125,Dihydrocodeine,"['K29', 'K31', 'K51', 'K58', 'K59']","['gastritis and duodenitis', 'diseases of stomach and duodenum', 'ulcerative colitis', 'irritable bowel syndrome', 'functional intestinal disorders']"
85,64,Meclofenamic acid,"['K76', 'K65']","['diseases of liver', 'peritonitis']"
86,78,Captodiame,"['F20', 'F12', 'F15', 'F25', 'F31']","['schizophrenia', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of stimulants, including caffeine', 'schizoaffective disorders', 'bipolar affective disorder']"
87,119,Crizotinib,"['F70', 'D75', 'D52', 'F10', 'F22', 'G31', 'L21', 'C10', 'C13', 'E53', 'H10', 'I86', 'N62']","['mild mental retardation', 'diseases of blood and blood-forming organs', 'folate deficiency anaemia', 'mental and behavioural disorders due to use of alcohol', 'persistent delusional disorders', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'malignant neoplasm of oropharynx', 'malignant neoplasm of hypopharynx', 'deficiency of b group vitamins', 'conjunctivitis', 'varicose veins of specified sites', 'hypertrophy of breast']"
88,111,Isoniazid,"['B16', 'K73', 'B18', 'C22']","['acute hepatitis b', 'chronic hepatitis', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts']"
89,390,Catumaxomab,"['G91', 'I60', 'D73', 'F52', 'G30', 'L28', 'E11', 'E55', 'F00', 'F05', 'H49', 'A48', 'C76', 'D34', 'H60', 'L08', 'M00', 'N04']","['hydrocephalus', 'subarachnoid haemorrhage', 'diseases of spleen', 'sexual dysfunction', ""alzheimer's disease"", 'lichen simplex chronicus and prurigo', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', ""dementia in alzheimer's disease"", 'delirium', 'paralytic strabismus', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'benign neoplasm of thyroid gland', 'otitis externa', 'local infections of skin and subcutaneous tissue', 'pyogenic arthritis', 'nephrotic syndrome']"
90,39,Enflurane,"['K21', 'K29', 'K44', 'K52']","['gastro-oesophageal reflux disease', 'gastritis and duodenitis', 'diaphragmatic hernia', 'non-infective gastro-enteritis and colitis']"
91,147,Rifampicin,"['J18', 'J96', 'J15']","['pneumonia, organism', 'respiratory failure', 'bacterial pneumonia']"
92,303,Pegvisomant,"['G40', 'G41', 'F01', 'F71']","['epilepsy', 'status epilepticus', 'vascular dementia', 'moderate mental retardation']"
93,291,Dronabinol,"['L89', 'N08', 'E11', 'E55', 'G61', 'I13', 'I33', 'L28']","['decubitus ulcer', 'glomerular disorders in diseases classified elsewhere', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', 'inflammatory polyneuropathy', 'hypertensive heart and renal disease', 'acute and subacute endocarditis', 'lichen simplex chronicus and prurigo']"
94,179,Muromonab,"['C61', 'N32', 'N40', 'D40']","['malignant neoplasm of prostate', 'disorders of bladder', 'hyperplasia of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs']"
95,363,Erlotinib,"['C65', 'C66', 'C67', 'C68']","['malignant neoplasm of renal pelvis', 'malignant neoplasm of ureter', 'malignant neoplasm of bladder', 'malignant neoplasm of urinary organs']"
96,334,Cabazitaxel,"['L28', 'K76', 'D73', 'E51', 'M89']","['lichen simplex chronicus and prurigo', 'diseases of liver', 'diseases of spleen', 'thiamine deficiency', 'disorders of bone']"
97,421,Hexobarbital,"['M66', 'M24', 'M65', 'M67', 'M71', 'M93', 'M94']","['spontaneous rupture of synovium and tendon', 'specific joint derangements', 'infective (teno)synovitis', 'disorders of synovium and tendon', 'bursopathies', 'osteochondropathies', 'disorders of cartilage']"
98,408,Rituximab,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
