,Trajectory,Disease list,Drug Indications
10,23_388,"{'H52', 'H50'}","{'Verteporfin': 1, 'Botulinum Toxin Type A': 1}"
11,28,"{'J45', 'J30'}","{'Omalizumab': 3, 'Vitamin E': 3, 'Flunisolide': 3, 'Isoetarine': 3, 'Theophylline': 3, 'Beclomethasone dipropionate': 3, 'Montelukast': 3, 'Zafirlukast': 3, 'Cinalukast': 3, 'Fluticasone propionate': 3, 'Dyphylline': 3, 'Nedocromil': 3, 'Hydrocortisone': 3, 'Zileuton': 3, 'Mometasone': 3, 'Orciprenaline': 3, 'Enprofylline': 3, 'Ketotifen': 3, 'Salmeterol': 3, 'Formoterol': 3, 'Salbutamol': 3, 'Cromoglicic acid': 3, 'Isoprenaline': 3, 'Chlorphenamine': 3, 'Budesonide': 3, 'Aminophylline': 3, 'Dexamethasone': 3, 'Fenoterol': 3, 'Pirbuterol': 3, 'Oxtriphylline': 3, 'Penbutolol': 3, 'Procaterol': 3, 'Clenbuterol': 3, 'Bambuterol': 3, 'Ibudilast': 3, 'Reslizumab': 3, 'Mepolizumab': 3, 'Tranilast': 3, 'Chloropyramine': 3, 'Fluticasone furoate': 3, 'Olodaterol': 3, 'Vilanterol': 3, 'Helium': 3, 'Doxofylline': 3, 'Racepinephrine': 3, 'Etafedrine': 3, 'Myrrh': 3, 'Benralizumab': 3, 'Levosalbutamol': 3, 'D-alpha-Tocopherol acetate': 3, 'Cyproheptadine': 1, 'Carbinoxamine': 1, 'Pseudoephedrine': 1}"
12,29,"{'J40', 'B99'}","{'Moxifloxacin': 1, 'Isoetarine': 1, 'Theophylline': 1, 'Ipratropium': 1, 'Trimethoprim': 1, 'Clomocycline': 1, 'Demeclocycline': 1, 'Dyphylline': 1, 'Sulfametopyrazine': 1, 'Cefixime': 1, 'Orciprenaline': 1, 'Pseudoephedrine': 1, 'Terbutaline': 1, 'Methacycline': 1, 'Dirithromycin': 1, 'Telithromycin': 1, 'Lomefloxacin': 1, 'Salbutamol': 1, 'Sulfamethoxazole': 1, 'Gatifloxacin': 1, 'Isoprenaline': 1, 'Cefditoren': 1, 'Cefuroxime': 1, 'Sparfloxacin': 1, 'Clarithromycin': 1, 'Aminophylline': 1, 'Arformoterol': 1, 'Oxtriphylline': 1, 'Bambuterol': 1, 'Ceftibuten': 1, 'Sulfamerazine': 1, 'Sulfamethazine': 1, 'Pivampicillin': 1, 'Roflumilast': 1, 'Indacaterol': 1, 'Aclidinium': 1, 'Fluticasone furoate': 1, 'Olodaterol': 1, 'Vilanterol': 1, 'Pentoxyverine': 1, 'Etafedrine': 1, 'Terpin hydrate': 1, 'Diphenidol': 1}"
13,34,"{'D10', 'G71', 'F95', 'B35', 'H60', 'A38', 'A69', 'G47', 'J40', 'M13', 'M60', 'H10', 'E30', 'J42', 'D70', 'N04'}","{'Pancrelipase': 2, 'Lovastatin': 1, 'Penciclovir': 1, 'Mitomycin': 1, 'Metformin': 1, 'Cerivastatin': 2, 'Vincristine': 1, 'Mazindol': 1, 'L-Carnitine': 1, 'Niacin': 1, 'Clofibrate': 1, 'Cefixime': 3, 'Dirithromycin': 3, 'Ezetimibe': 1, 'Telithromycin': 2, 'Fenofibrate': 1, 'Cefditoren': 3, 'Atorvastatin': 1, 'Hesperetin': 2, 'Rosuvastatin': 2, 'Cefuroxime': 2, 'Clarithromycin': 5, 'Gemfibrozil': 1, 'Panitumumab': 2, 'Fosamprenavir': 2, 'Bezafibrate': 1, 'Ceftibuten': 3, 'Cholestyramine': 1, 'Everolimus': 1, 'Pantothenic acid': 1, 'Celiprolol': 1, 'Mipomersen': 2, 'Rimonabant': 1, 'Lomitapide': 1, 'Acetylcarnitine': 2, 'Pitavastatin': 1, 'Ulipristal': 1, 'Tesamorelin': 1, 'Linagliptin': 1, 'Aflibercept': 1, 'Regorafenib': 2, 'Fluticasone furoate': 3, 'Inositol nicotinate': 1, 'Carbazochrome': 1, 'Pembrolizumab': 2, 'Metreleptin': 1, 'Acipimox': 1, 'Atosiban': 1, 'Vilanterol': 3, 'Benzydamine': 2, 'Xanthinol': 1, 'Sincalide': 1, 'Pramocaine': 2, 'Tannic acid': 1, 'Octinoxate': 1, 'Talc': 2, 'Sodium glycerophosphate': 2, 'Omega-3-carboxylic acids': 2, 'Petrolatum': 1, 'Allantoin': 1, 'Pectin': 1, 'Tocopherol': 1, 'Sebelipase alfa': 1, 'Myrrh': 1, 'Ertugliflozin': 2, 'Cerliponase alfa': 1, 'Glycyrrhizic acid': 2, 'Fenofibric acid': 1, 'Medium-chain triglycerides': 2, 'alpha-Tocopherol succinate': 2, 'alpha-Tocopherol acetate': 2, 'Ataluren': 1, 'Eteplirsen': 1, 'Deflazacort': 1, 'Ziprasidone': 2, 'Olanzapine': 2, 'Loxapine': 2, 'Prochlorperazine': 2, 'Betamethasone': 2, 'Fluphenazine': 2, 'Perphenazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Salsalate': 3, 'Molindone': 2, 'Tetrabenazine': 4, 'Apremilast': 2, 'Aripiprazole lauroxil': 2, 'Griseofulvin': 4, 'Naftifine': 3, 'Terbinafine': 2, 'Butenafine': 3, 'Miconazole': 3, 'Econazole': 3, 'Sertaconazole': 1, 'Bifonazole': 1, 'Sulconazole': 3, 'Luliconazole': 1, 'Neomycin': 3, 'Finafloxacin': 2, 'Phenoxymethylpenicillin': 2, 'Lyme disease vaccine (recombinant OspA)': 1, 'Lymecycline': 2, 'Demeclocycline': 3, 'Tetracycline': 1, 'Amitriptyline': 3, 'Melatonin': 3, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2, 'Moxifloxacin': 4, 'Isoetarine': 1, 'Theophylline': 3, 'Ipratropium': 2, 'Trimethoprim': 2, 'Clomocycline': 2, 'Dyphylline': 2, 'Sulfametopyrazine': 2, 'Orciprenaline': 2, 'Pseudoephedrine': 2, 'Terbutaline': 1, 'Methacycline': 2, 'Lomefloxacin': 2, 'Salbutamol': 3, 'Sulfamethoxazole': 1, 'Gatifloxacin': 1, 'Isoprenaline': 2, 'Sparfloxacin': 2, 'Aminophylline': 2, 'Arformoterol': 2, 'Oxtriphylline': 1, 'Bambuterol': 1, 'Sulfamerazine': 1, 'Sulfamethazine': 1, 'Pivampicillin': 2, 'Roflumilast': 2, 'Indacaterol': 2, 'Aclidinium': 2, 'Olodaterol': 2, 'Pentoxyverine': 1, 'Etafedrine': 2, 'Terpin hydrate': 2, 'Etanercept': 1, 'Anakinra': 1, 'Immune Globulin Human': 1, 'Adalimumab': 1, 'Infliximab': 2, 'Rituximab': 1, 'Cyclosporine': 1, 'Histidine': 1, 'Ademetionine': 1, 'Cystine': 1, 'N-Acetylglucosamine': 1, 'Vitamin E': 1, 'Tramadol': 1, 'Indomethacin': 1, 'Nabumetone': 1, 'Tenoxicam': 1, 'Celecoxib': 1, 'Tolmetin': 1, 'Rofecoxib': 1, 'Piroxicam': 1, 'Methotrexate': 2, 'Fenoprofen': 1, 'Valdecoxib': 1, 'Diclofenac': 1, 'Sulindac': 1, 'Chloroquine': 1, 'Flurbiprofen': 1, 'Hydrocortisone': 1, 'Etodolac': 1, 'Estradiol': 1, 'Mefenamic acid': 1, 'Naproxen': 1, 'Sulfasalazine': 1, 'Meloxicam': 1, 'Penicillamine': 1, 'Prednisolone': 1, 'Diflunisal': 1, 'Meclofenamic acid': 1, 'Acetylsalicylic acid': 1, 'Methylprednisolone': 1, 'Oxaprozin': 1, 'Azathioprine': 1, 'Auranofin': 1, 'Ketoprofen': 1, 'Probenecid': 1, 'Ibuprofen': 1, 'Leflunomide': 1, 'Sulfinpyrazone': 1, 'Abatacept': 2, 'Lumiracoxib': 1, 'Glucosamine': 1, 'Colchicine': 1, 'Choline magnesium trisalicylate': 1, 'Hydroxychloroquine': 1, 'Etoricoxib': 1, 'Niflumic Acid': 1, 'Nimesulide': 1, 'Samarium (153Sm) lexidronam': 1, 'Ustekinumab': 2, 'Canakinumab': 1, 'Tocilizumab': 1, 'Temsirolimus': 2, 'Golimumab': 1, 'Aceclofenac': 1, 'Hyaluronic acid': 2, 'Tofacitinib': 2, 'Certolizumab pegol': 1, 'Zucapsaicin': 1, 'Aurothioglucose': 2, 'Dexibuprofen': 2, 'Sodium aurothiomalate': 1, 'Talniflumate': 1, 'Chondroitin sulfate': 1, 'Fluoride ion F-18': 2, 'Capsicum oleoresin': 1, 'Phenyltoloxamine': 1, 'Menthyl salicylate': 1, 'Gelatin': 1, 'Brodalumab': 1, 'Baricitinib': 2, 'Diacerein': 1, 'Stem bromelain': 2, 'Nicoboxil': 2, 'Alclofenac': 1, 'Acemetacin': 1, 'D-alpha-Tocopherol acetate': 1, 'Prednisone': 7, 'Idoxuridine': 2, 'Medrysone': 2, 'Sulfisoxazole': 3, 'Triprolidine': 3, 'Trifluridine': 2, 'Cyproheptadine': 2, 'Chloramphenicol': 2, 'Sulfacetamide': 2, 'Astemizole': 2, 'Carbinoxamine': 2, 'Epinastine': 2, 'Olopatadine': 2, 'Natamycin': 2, 'Hydroxypropyl cellulose': 2, 'Loteprednol': 2, 'Pemirolast': 2, 'Ketotifen': 2, 'Azelastine': 2, 'Cromoglicic acid': 2, 'Emedastine': 2, 'Levocabastine': 2, 'Levofloxacin': 2, 'Bepotastine': 2, 'Alcaftadine': 2, 'Besifloxacin': 2, 'Lodoxamide': 2, 'Antazoline': 2, 'Chloropyramine': 3, 'Spaglumic Acid': 2, 'Dexchlorpheniramine maleate': 2, 'Dermatophagoides farinae': 3, 'Dermatophagoides pteronyssinus': 3, 'Rose bengal': 2, 'Lifitegrast': 2, 'Acetyl sulfisoxazole': 2, 'Goserelin': 1, 'Medroxyprogesterone acetate': 1, 'Nafarelin': 1, 'Histrelin': 1, 'Testosterone enanthate': 1, 'Lenograstim': 3, 'Cetuximab': 1, 'Peginterferon alfa-2a': 1, 'Erythropoietin': 1, 'Salmon Calcitonin': 1, 'Pegfilgrastim': 1, 'Peginterferon alfa-2b': 1, 'Asparaginase Escherichia coli': 1, 'Oprelvekin': 1, 'Palifermin': 1, 'Rasburicase': 1, 'Gemtuzumab ozogamicin': 1, 'Hyaluronidase': 1, 'Efalizumab': 1, 'Filgrastim': 1, 'Octreotide': 1, 'Esmolol': 1, 'Ethchlorvynol': 1, 'Hydroxocobalamin': 1, 'Ticlopidine': 1, 'Torasemide': 1, 'Nelfinavir': 1, 'Methyclothiazide': 1, 'Nevirapine': 1, 'Cabergoline': 1, 'Cycloserine': 1, 'Travoprost': 1, 'Atomoxetine': 1, 'Chlorambucil': 2, 'Tenofovir disoproxil': 1, 'Bexarotene': 1, 'Chlorthalidone': 1, 'Capreomycin': 1, 'Gefitinib': 1, 'Floxuridine': 1, 'Tolcapone': 1, 'Omeprazole': 1, 'Pyrazinamide': 1, 'Trimethadione': 1, 'Megestrol acetate': 1, 'Buclizine': 1, 'Vinorelbine': 1, 'Anidulafungin': 1, 'Doxylamine': 1, 'Levonorgestrel': 1, 'Palonosetron': 1, 'Triamterene': 2, 'Nisoldipine': 1, 'Ampicillin': 1, 'Methylphenidate': 1, 'Methocarbamol': 1, 'Carboprost Tromethamine': 1, 'Lindane': 1, 'Allopurinol': 1, 'Dronabinol': 1, 'Nabilone': 1, 'Zidovudine': 1, 'Haloperidol': 1, 'Ritonavir': 1, 'Caspofungin': 1, 'Metolazone': 1, 'Tolnaftate': 1, 'Erlotinib': 1, 'Cyclophosphamide': 2, 'Lamotrigine': 1, 'Cinnarizine': 1, 'Amiloride': 1, 'Labetalol': 1, 'Thiopental': 1, 'Cyclothiazide': 1, 'Ethionamide': 1, 'Paramethadione': 1, 'Bacitracin': 1, 'Pemetrexed': 1, 'Dyclonine': 1, 'Flumethasone': 1, 'Aprepitant': 1, 'Isoflurophate': 1, 'Phentolamine': 1, 'Furosemide': 3, 'Amprenavir': 1, 'Gadobenic acid': 1, 'Tretinoin': 1, 'Hexachlorophene': 1, 'Dolasetron': 1, 'Etoposide': 1, 'Hydroflumethiazide': 1, 'Oxcarbazepine': 1, 'Phenelzine': 1, 'Indapamide': 1, 'Ribavirin': 1, 'Dacarbazine': 1, 'Chlorphenesin': 1, 'Eprosartan': 1, 'Emtricitabine': 1, 'Chlorothiazide': 1, 'Bumetanide': 2, 'Didanosine': 1, 'Ondansetron': 1, 'Bimatoprost': 1, 'Dinoprostone': 1, 'Misoprostol': 1, 'Zalcitabine': 1, 'Hydrocodone': 1, 'Carboplatin': 1, 'Telmisartan': 1, 'Dactinomycin': 1, 'Doxorubicin': 1, 'Guanfacine': 1, 'Ethinamate': 1, 'Selegiline': 1, 'Hydroxystilbamidine Isethionate': 1, 'Melphalan': 1, 'Abacavir': 1, 'Novobiocin': 1, 'Atazanavir': 1, 'Vigabatrin': 1, 'Streptomycin': 1, 'Capecitabine': 1, 'Amiodarone': 1, 'Proguanil': 1, 'Micafungin': 1, 'Procarbazine': 1, 'Cyclizine': 1, 'Ifosfamide': 1, 'Clindamycin': 1, 'Flecainide': 2, 'Captopril': 1, 'Bromocriptine': 1, 'Lomustine': 1, 'Ketamine': 1, 'Budesonide': 1, 'Bromodiphenhydramine': 1, 'Isocarboxazid': 1, 'Docetaxel': 1, 'Posaconazole': 1, 'Darunavir': 1, 'Mecasermin': 1, 'Nelarabine': 1, 'Bismuth Subsalicylate': 1, 'Potassium': 1, 'Hexobarbital': 1, 'Penbutolol': 1, 'Iohexol': 1, 'Rasagiline': 1, 'Oxybenzone': 1, 'Antipyrine': 1, 'Phenazopyridine': 1, 'Fencamfamine': 1, 'Flunitrazepam': 1, 'Liotrix': 1, 'Lopinavir': 1, 'Meticillin': 1, 'Phenindamine': 1, 'Acetylcholine': 1, 'Propanoic acid': 1, 'Thiotepa': 1, 'Suramin': 1, 'Ixabepilone': 1, 'Defibrotide': 1, 'Tamibarotene': 1, 'Trabectedin': 2, 'Methsuximide': 1, 'Natural alpha interferon': 1, 'Iodine': 1, 'Tetrachlorodecaoxide': 1, 'Ramucirumab': 1, 'Sodium stibogluconate': 1, 'Thrombomodulin Alfa': 1, 'Inotuzumab ozogamicin': 1, 'Obeticholic acid': 1, 'Olaratumab': 1, 'Lasofoxifene': 1, 'Hyaluronidase (Human Recombinant)': 1, 'Asenapine': 1, 'Droxidopa': 1, 'Saxagliptin': 1, 'Pertuzumab': 1, 'Oxymetholone': 1, 'Etravirine': 1, 'Pazopanib': 1, 'Safinamide': 1, 'Sipuleucel-T': 1, 'Dexmethylphenidate': 1, 'Potassium Iodide': 1, 'Fosaprepitant': 1, 'Beta carotene': 1, 'Fomivirsen': 1, 'Dalteparin': 1, 'Hexocyclium': 1, 'Nonoxynol-9': 1, 'Raltegravir': 1, 'Unoprostone': 1, 'Diloxanide': 1, 'Azidocillin': 1, 'Dimetindene': 1, 'Triflusal': 1, 'Ivacaftor': 1, 'Rilpivirine': 1, 'Brentuximab vedotin': 1, 'Eribulin': 1, 'Asparaginase Erwinia chrysanthemi': 1, 'Afatinib': 1, 'Dolutegravir': 1, 'Riociguat': 1, 'Sofosbuvir': 1, 'Secukinumab': 1, 'Nivolumab': 1, 'Netupitant': 1, 'Idelalisib': 1, 'Cannabidiol': 1, 'Cobicistat': 1, 'Olaparib': 1, 'Dinutuximab': 1, 'Benzoyl peroxide': 1, 'Somatostatin': 1, 'Elvitegravir': 1, 'Ancestim': 1, 'Hydroxyethyl Starch': 1, 'Oxygen': 1, 'Florbetaben (18F)': 1, 'Florbetapir (18F)': 1, 'Flutemetamol (18F)': 1, 'Carbon dioxide': 1, 'Lorpiprazole': 1, 'Moxisylyte': 1, 'Piracetam': 1, 'Zotepine': 1, 'Lacidipine': 1, 'Moxonidine': 1, 'Tegafur': 1, 'Strontium ranelate': 1, 'Ubidecarenone': 1, 'Rolapitant': 1, 'Sacubitril': 1, 'Zinc oxide': 1, 'Benzathine benzylpenicillin': 1, 'Kappadione': 1, 'Tipiracil': 1, 'Estrogens, esterified': 1, 'Sodium acetate': 1, 'Magnesium acetate tetrahydrate': 1, 'Monopotassium phosphate': 1, 'Xylose': 1, 'Indium In-111 chloride': 1, 'Fludeoxyglucose F-18': 1, 'Bovine type I collagen': 1, 'Hepatitis A Vaccine': 1, 'Cetylpyridinium': 1, 'Resorcinol': 1, 'N-acetyltyrosine': 1, 'Cresol': 1, 'Bicisate': 1, 'Ferric sulfate': 1, 'Peppermint oil': 1, 'Methyl cellulose': 1, 'Thonzylamine': 1, 'Hexylresorcinol': 1, 'Levomefolic acid': 1, 'Polysilicone-15': 1, 'Ixekizumab': 1, 'Asunaprevir': 1, 'Domiphen': 1, 'Atezolizumab': 1, 'Levoleucovorin': 1, 'Normethadone': 1, 'Velpatasvir': 1, 'Hepatitis B Vaccine (Recombinant)': 1, 'Temoporfin': 1, 'Delamanid': 1, 'Vinflunine': 1, 'Durvalumab': 1, 'Galactose': 1, 'Icotinib': 1, 'Sarilumab': 1, 'Niraparib': 1, 'Guselkumab': 1, 'Angiotensin II': 1, 'Abemaciclib': 1, 'Cantharidin': 1, 'Rucaparib': 1, 'Protein S human': 1, 'Coagulation factor VII human': 1, 'Lipegfilgrastim': 1, 'Perboric acid': 1, 'Bufexamac': 1, 'Mifamurtide': 1, 'Bioallethrin': 1, 'Magnesium gluconate': 1, 'Calcium levulinate': 1, 'Human cytomegalovirus immune globulin': 1, 'Talimogene laherparepvec': 1, 'Axicabtagene ciloleucel': 1, 'Testosterone undecanoate': 1, 'Fish oil': 1, 'Remestemcel-L': 1, 'Besilesomab': 1, 'Nabiximols': 1, 'Fosnetupitant': 1, 'Human vaccinia virus immune globulin': 1}"
14,39,"{'E06', 'E14', 'E10'}","{'Liothyronine': 4, 'Levothyroxine': 2, 'Prednisone': 2, 'Prednisolone': 2, 'Liotrix': 2, 'Thyroid, porcine': 2, 'Insulin Human': 1, 'Insulin Lispro': 1, 'Insulin Glargine': 1, 'Insulin Pork': 1, 'Ramipril': 1, 'Glimepiride': 1, 'Rosiglitazone': 1, 'Acetohexamide': 1, 'Miglitol': 3, 'Fosinopril': 1, 'Trandolapril': 1, 'Inulin': 1, 'Lisinopril': 1, 'Nateglinide': 1, 'Mifepristone': 1, 'Tolazamide': 1, 'Quinapril': 1, 'Repaglinide': 1, 'Phenformin': 1, 'Telmisartan': 1, 'Glipizide': 3, 'Tolbutamide': 3, 'Pioglitazone': 1, 'Gliquidone': 1, 'Sitagliptin': 1, 'Exenatide': 1, 'Pramlintide': 1, 'Insulin Aspart': 1, 'Insulin Detemir': 1, 'Insulin Glulisine': 1, 'Glycodiazine': 1, 'Bezafibrate': 1, 'Vildagliptin': 1, 'Alogliptin': 1, 'Dapagliflozin': 1, 'Saxagliptin': 1, 'Liraglutide': 1, 'Acetylcarnitine': 1, 'Linagliptin': 1, 'Canagliflozin': 1, 'Albiglutide': 1, 'Dulaglutide': 1, 'Insulin Degludec': 1, 'Ertugliflozin': 1, 'Semaglutide': 1}"
15,40,"{'K80', 'E66', 'F17'}","{'Isopropamide': 2, 'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1}"
16,43,"{'F12', 'E87', 'F10'}","{'Ziprasidone': 2, 'Olanzapine': 2, 'Loxapine': 2, 'Prochlorperazine': 2, 'Fluphenazine': 2, 'Perphenazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Molindone': 2, 'Aripiprazole lauroxil': 2, 'Ergocalciferol': 1, 'Calcium Gluceptate': 1, 'Dihydrotachysterol': 1, 'Sodium bicarbonate': 1, 'Tromethamine': 1, 'Ammonium chloride': 2, 'Canagliflozin': 1, 'Potassium Citrate': 1, 'Helium': 1, 'Sodium acetate': 1}"
17,44,"{'F11', 'F19', 'F13'}","{'Ziprasidone': 3, 'Olanzapine': 3, 'Loxapine': 3, 'Prochlorperazine': 3, 'Fluphenazine': 3, 'Perphenazine': 3, 'Quetiapine': 3, 'Aripiprazole': 3, 'Chlorprothixene': 3, 'Molindone': 3, 'Aripiprazole lauroxil': 3}"
18,46,"{'F32', 'F41'}","{'Imipramine': 2, 'Tranylcypromine': 2, 'Agomelatine': 2, 'Lorazepam': 1, 'Butabarbital': 1, 'Meprobamate': 1, 'Chlordiazepoxide': 1, 'Buspirone': 1, 'Clorazepate': 1, 'Halazepam': 1, 'Diazepam': 1, 'Trifluoperazine': 1, 'Oxazepam': 1, 'Desipramine': 1, 'Clotiazepam': 1, 'Fludiazepam': 1, 'Prazepam': 1, 'Cinolazepam': 1}"
19,49,"{'J96', 'G41', 'G40'}","{'Nitric Oxide': 1, 'Lorazepam': 2, 'Adinazolam': 2, 'Propofol': 2, 'Fosphenytoin': 2, 'Clobazam': 2, 'Carbamazepine': 2, 'Ethosuximide': 2, 'Oxcarbazepine': 2, 'Primidone': 2, 'Phensuximide': 2, 'Progabide': 2, 'Methylphenobarbital': 2, 'Zonisamide': 2, 'Felbamate': 2, 'Gabapentin': 2, 'Vigabatrin': 2, 'Phenacemide': 2, 'Levetiracetam': 2, 'Flunarizine': 2, 'Lacosamide': 2, 'Stiripentol': 2}"
20,53,"{'J45', 'J30', 'L20'}","{'Omalizumab': 3, 'Vitamin E': 3, 'Flunisolide': 3, 'Isoetarine': 3, 'Theophylline': 3, 'Beclomethasone dipropionate': 3, 'Montelukast': 3, 'Zafirlukast': 3, 'Cinalukast': 3, 'Fluticasone propionate': 3, 'Dyphylline': 3, 'Nedocromil': 3, 'Hydrocortisone': 3, 'Zileuton': 3, 'Mometasone': 3, 'Orciprenaline': 3, 'Enprofylline': 3, 'Ketotifen': 3, 'Salmeterol': 3, 'Formoterol': 3, 'Salbutamol': 3, 'Cromoglicic acid': 3, 'Isoprenaline': 3, 'Chlorphenamine': 3, 'Budesonide': 3, 'Aminophylline': 3, 'Dexamethasone': 3, 'Fenoterol': 3, 'Pirbuterol': 3, 'Oxtriphylline': 3, 'Penbutolol': 3, 'Procaterol': 3, 'Clenbuterol': 3, 'Bambuterol': 3, 'Ibudilast': 3, 'Reslizumab': 3, 'Mepolizumab': 3, 'Tranilast': 5, 'Chloropyramine': 3, 'Fluticasone furoate': 3, 'Olodaterol': 3, 'Vilanterol': 3, 'Helium': 3, 'Doxofylline': 3, 'Racepinephrine': 3, 'Etafedrine': 3, 'Myrrh': 3, 'Benralizumab': 3, 'Levosalbutamol': 3, 'D-alpha-Tocopherol acetate': 3, 'Cyproheptadine': 1, 'Carbinoxamine': 1, 'Pseudoephedrine': 1, 'Pimecrolimus': 2, 'Prednisone': 2, 'Flumethasone': 2, 'Tacrolimus': 2, 'Doxepin': 2, 'Crisaborole': 2, 'Peppermint oil': 2, 'Aloe Polysaccharide': 2}"
21,56,"{'K21', 'K29'}","{'Bismuth Subcitrate': 3, 'Isopropamide': 1}"
22,65_103,"{'F14', 'F10', 'F12', 'F19', 'F13', 'F11'}","{'Ziprasidone': 6, 'Olanzapine': 6, 'Loxapine': 6, 'Prochlorperazine': 6, 'Fluphenazine': 6, 'Perphenazine': 6, 'Quetiapine': 6, 'Aripiprazole': 6, 'Chlorprothixene': 6, 'Molindone': 6, 'Aripiprazole lauroxil': 6}"
23,69,"{'N80', 'N94'}","{'Leuprolide': 2, 'Goserelin': 2, 'Medroxyprogesterone acetate': 2, 'Nafarelin': 2, 'Norethisterone': 2, 'Danazol': 2, 'Buserelin': 2, 'Dienogest': 2, 'Gestrinone': 2, 'Nimesulide': 1, 'Ospemifene': 1, 'Estradiol acetate': 1}"
24,70,"{'N80', 'N94'}","{'Leuprolide': 2, 'Goserelin': 2, 'Medroxyprogesterone acetate': 2, 'Nafarelin': 2, 'Norethisterone': 2, 'Danazol': 2, 'Buserelin': 2, 'Dienogest': 2, 'Gestrinone': 2, 'Nimesulide': 1, 'Ospemifene': 1, 'Estradiol acetate': 1}"
25,71,"{'E06', 'E03'}","{'Liothyronine': 5, 'Levothyroxine': 3, 'Prednisone': 2, 'Prednisolone': 2, 'Liotrix': 3, 'Thyroid, porcine': 3, 'Conivaptan': 1, 'Mecasermin': 1, 'Thyroglobulin': 1}"
26,73,"{'E06', 'E03'}","{'Liothyronine': 5, 'Levothyroxine': 3, 'Prednisone': 2, 'Prednisolone': 2, 'Liotrix': 3, 'Thyroid, porcine': 3, 'Conivaptan': 1, 'Mecasermin': 1, 'Thyroglobulin': 1}"
27,74,"{'E06', 'E14', 'E10'}","{'Liothyronine': 4, 'Levothyroxine': 2, 'Prednisone': 2, 'Prednisolone': 2, 'Liotrix': 2, 'Thyroid, porcine': 2, 'Insulin Human': 1, 'Insulin Lispro': 1, 'Insulin Glargine': 1, 'Insulin Pork': 1, 'Ramipril': 1, 'Glimepiride': 1, 'Rosiglitazone': 1, 'Acetohexamide': 1, 'Miglitol': 3, 'Fosinopril': 1, 'Trandolapril': 1, 'Inulin': 1, 'Lisinopril': 1, 'Nateglinide': 1, 'Mifepristone': 1, 'Tolazamide': 1, 'Quinapril': 1, 'Repaglinide': 1, 'Phenformin': 1, 'Telmisartan': 1, 'Glipizide': 3, 'Tolbutamide': 3, 'Pioglitazone': 1, 'Gliquidone': 1, 'Sitagliptin': 1, 'Exenatide': 1, 'Pramlintide': 1, 'Insulin Aspart': 1, 'Insulin Detemir': 1, 'Insulin Glulisine': 1, 'Glycodiazine': 1, 'Bezafibrate': 1, 'Vildagliptin': 1, 'Alogliptin': 1, 'Dapagliflozin': 1, 'Saxagliptin': 1, 'Liraglutide': 1, 'Acetylcarnitine': 1, 'Linagliptin': 1, 'Canagliflozin': 1, 'Albiglutide': 1, 'Dulaglutide': 1, 'Insulin Degludec': 1, 'Ertugliflozin': 1, 'Semaglutide': 1}"
28,75,"{'G47', 'E66', 'E11'}","{'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2, 'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2, 'Miglitol': 2, 'Glipizide': 2, 'Tolbutamide': 2}"
