,Unnamed: 0.1,Unnamed: 0,ICD,Drug,Consensus Name,Disease Name,PubMed_query_name,PubMed count
34,34,34,F24,Sulfanilamide,induced delusional disorder,induced delusional disorder,induced delusional disorder,0.0
35,35,35,J80,Iloperidone,adult respiratory distress syndrome,adult respiratory distress syndrome,adult respiratory distress syndrome,0.0
36,36,36,L13,Ephedra,bullous disorders,"other bullous disorders;dermatitis herpetiformis;subcorneal pustular dermatitis;other specified bullous disorders;bullous disorder, unspecified",bullous disorders,0.0
37,37,37,C82,Isosorbide,follicular [nodular] non-hodgkin's lymphoma,"follicular [nodular] non-hodgkin's lymphoma;small cleaved cell, follicular;mixed small cleaved and large cell, follicular;large cell, follicular;follicular lymphoma grade iiia;follicular lymphoma grade iiib;diffuse follicle centre lymphoma;cutaneous follicle centre lymphoma;other types of follicular non-hodgkin's lymphoma;follicular non-hodgkin's lymphoma, unspecified",follicular [nodular] non-hodgkin's lymphoma,
38,38,38,G12,Lumacaftor,spinal muscular atrophy and related syndromes,"spinal muscular atrophy and related syndromes;infantile spinal muscular atrophy, type i [werdnig-hoffman];other inherited spinal muscular atrophy;motor neuron disease;other spinal muscular atrophies and related syndromes;spinal muscular atrophy, unspecified",spinal muscular atrophy and related syndromes,6.0
39,39,39,C02,Delamanid,malignant neoplasm of parts of tongue,"malignant neoplasm of other and unspecified parts of tongue;dorsal surface of tongue;border of tongue;ventral surface of tongue;anterior two-thirds of tongue, part unspecified;lingual tonsil;overlapping lesion of tongue;tongue, unspecified",malignant neoplasm of parts of tongue,0.0
40,40,40,I84,Testosterone enanthate,haemorrhoids,haemorrhoids;internal thrombosed haemorrhoids;internal haemorrhoids with other complications;internal haemorrhoids without complication;external thrombosed haemorrhoids;external haemorrhoids with other complications;external haemorrhoids without complication;residual haemorrhoidal skin tags;unspecified thrombosed haemorrhoids;unspecified haemorrhoids with other complications;unspecified haemorrhoids without complication,haemorrhoids,2.0
41,41,41,G70,Liraglutide,myasthenia gravis and myoneural disorders,"myasthenia gravis and other myoneural disorders;myasthenia gravis;toxic myoneural disorders;congenital and developmental myasthenia;other specified myoneural disorders;myoneural disorder, unspecified",myasthenia gravis and myoneural disorders,26.0
42,42,42,E53,Aminophenazone,deficiency of b group vitamins,"deficiency of other b group vitamins;riboflavin deficiency;pyridoxine deficiency;deficiency of other specified b group vitamins;vitamin b deficiency, unspecified",deficiency of b group vitamins,3.0
43,43,43,F99,Dutasteride,"mental disorder, not otherwise specified","mental disorder, not otherwise specified",mental disorder,77.0
44,44,44,E46,Irbesartan,unspecified protein-energy malnutrition,unspecified protein-energy malnutrition,protein-energy malnutrition,0.0
45,45,45,B41,Difluprednate,paracoccidioidomycosis,"paracoccidioidomycosis;pulmonary paracoccidioidomycosis;disseminated paracoccidioidomycosis;other forms of paracoccidioidomycosis;paracoccidioidomycosis, unspecified",paracoccidioidomycosis,0.0
46,46,46,J15,Bupropion,"bacterial pneumonia, not elsewhere classified","bacterial pneumonia, not elsewhere classified;pneumonia due to klebsiella pneumoniae;pneumonia due to pseudomonas;pneumonia due to staphylococcus;pneumonia due to streptococcus, group b;pneumonia due to other streptococci;pneumonia due to escherichia coli;pneumonia due to other aerobic gram-negative bacteria;pneumonia due to mycoplasma pneumoniae;other bacterial pneumonia;bacterial pneumonia, unspecified",bacterial pneumonia,0.0
47,47,47,F99,Denileukin diftitox,"mental disorder, not otherwise specified","mental disorder, not otherwise specified",mental disorder,0.0
48,48,48,M16,Beclomethasone dipropionate,coxarthrosis [arthrosis of hip],"coxarthrosis [arthrosis of hip];primary coxarthrosis, bilateral;other primary coxarthrosis;coxarthrosis resulting from dysplasia, bilateral;other dysplastic coxarthrosis;posttraumatic coxarthrosis, bilateral;other posttraumatic coxarthrosis;other secondary coxarthrosis, bilateral;other secondary coxarthrosis;coxarthrosis, unspecified",coxarthrosis [arthrosis of hip],0.0
49,49,49,E78,Cobimetinib,disorders of lipoprotein metabolism and lipidaemias,"disorders of lipoprotein metabolism and other lipidaemias;pure hypercholesterolaemia;pure hyperglyceridaemia;mixed hyperlipidaemia;hyperchylomicronaemia;other hyperlipidaemia;hyperlipidaemia, unspecified;lipoprotein deficiency;other disorders of lipoprotein metabolism;disorder of lipoprotein metabolism, unspecified",disorders of lipoprotein metabolism and lipidaemias,0.0
50,50,50,M10,Triflusal,gout,"gout;idiopathic gout;lead-induced gout;drug-induced gout;gout due to impairment of renal function;other secondary gout;gout, unspecified",gout,
51,51,51,A01,Rituximab,typhoid and paratyphoid fevers,"typhoid and paratyphoid fevers;typhoid fever;paratyphoid fever a;paratyphoid fever b;paratyphoid fever c;paratyphoid fever, unspecified",typhoid and paratyphoid fevers,2.0
52,52,52,C83,Phendimetrazine,diffuse non-hodgkin's lymphoma,"diffuse non-hodgkin's lymphoma;small cell (diffuse);small cleaved cell (diffuse);mixed small and large cell (diffuse);large cell (diffuse);immunoblastic (diffuse);lymphoblastic (diffuse);undifferentiated (diffuse);burkitt's tumour;other types of diffuse non-hodgkin's lymphoma;diffuse non-hodgkin's lymphoma, unspecified",diffuse non-hodgkin's lymphoma,0.0
53,53,53,B67,Mirabegron,echinococcosis,"echinococcosis;echinococcus granulosus infection of liver;echinococcus granulosus infection of lung;echinococcus granulosus infection of bone;echinococcus granulosus infection, other and multiple sites;echinococcus granulosus infection, unspecified;echinococcus multilocularis infection of liver;echinococcus multilocularis infection, other and multiple sites;echinococcus multilocularis infection, unspecified;echinococcosis, unspecified, of liver;echinococcosis, other and unspecified",echinococcosis,0.0
54,54,54,L91,Vinorelbine,hypertrophic disorders of skin,"hypertrophic disorders of skin;keloid scar;other hypertrophic disorders of skin;hypertrophic disorder of skin, unspecified",hypertrophic disorders of skin,0.0
55,55,55,K44,Sorafenib,diaphragmatic hernia,"diaphragmatic hernia;diaphragmatic hernia with obstruction, without gangrene;diaphragmatic hernia with gangrene;diaphragmatic hernia without obstruction or gangrene",diaphragmatic hernia,0.0
56,56,56,F19,Dactinomycin,mental and behavioural disorders due to multiple drug use and use of psychoactive substances,mental and behavioural disorders due to multiple drug use and use of other psychoactive substances;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to multiple drug use and use of psychoactive substances,1.0
57,57,57,C43,Desflurane,malignant melanoma of skin,"malignant melanoma of skin;malignant melanoma of lip;malignant melanoma of eyelid, including canthus;malignant melanoma of ear and external auricular canal;malignant melanoma of other and unspecified parts of face;malignant melanoma of scalp and neck;malignant melanoma of trunk;malignant melanoma of upper limb, including shoulder;malignant melanoma of lower limb, including hip;overlapping malignant melanoma of skin;malignant melanoma of skin, unspecified",malignant melanoma of skin,0.0
58,58,58,G24,Clotrimazole,dystonia,"dystonia;drug-induced dystonia;idiopathic familial dystonia;idiopathic nonfamilial dystonia;spasmodic torticollis;idiopathic orofacial dystonia;blepharospasm;other dystonia;dystonia, unspecified",dystonia,0.0
59,59,59,J80,Levomenol,adult respiratory distress syndrome,adult respiratory distress syndrome,adult respiratory distress syndrome,1.0
60,60,60,E23,Homosalate,hypofunction and disorders of pituitary gland,"hypofunction and other disorders of pituitary gland;hypopituitarism;drug-induced hypopituitarism;diabetes insipidus;hypothalamic dysfunction, not elsewhere classified;other disorders of pituitary gland;disorder of pituitary gland, unspecified",hypofunction and disorders of pituitary gland,1.0
61,61,61,G45,Huperzine-A,transient cerebral ischaemic attacks and related syndromes,"transient cerebral ischaemic attacks and related syndromes;vertebro-basilar artery syndrome;carotid artery syndrome (hemispheric);multiple and bilateral precerebral artery syndromes;amaurosis fugax;transient global amnesia;other transient cerebral ischaemic attacks and related syndromes;transient cerebral ischaemic attack, unspecified",transient cerebral ischaemic attacks and related syndromes,7.0
62,62,62,I26,Mercaptopurine,pulmonary embolism,pulmonary embolism;pulmonary embolism with mention of acute cor pulmonale;pulmonary embolism without mention of acute cor pulmonale,pulmonary embolism,30.0
63,63,63,G57,Spermine,mononeuropathies of lower limb,"mononeuropathies of lower limb;lesion of sciatic nerve;meralgia paraesthetica;lesion of femoral nerve;lesion of lateral popliteal nerve;lesion of medial popliteal nerve;tarsal tunnel syndrome;lesion of plantar nerve;other mononeuropathies of lower limb;mononeuropathy of lower limb, unspecified",mononeuropathies of lower limb,0.0
64,64,64,L40,Micafungin,psoriasis,"asthma;predominantly allergic asthma;nonallergic asthma;mixed asthma;asthma, unspecified",asthma,7.0
65,65,64,L40,Micafungin,psoriasis,"psoriasis;psoriasis vulgaris;generalised pustular psoriasis;acrodermatitis continua;pustulosis palmaris et plantaris;guttate psoriasis;arthropathic psoriasis;other psoriasis;psoriasis, unspecified",psoriasis,0.0
66,66,64,L40,Micafungin,psoriasis,"asthma;predominantly allergic asthma;nonallergic asthma;mixed asthma;asthma, unspecified",asthma,7.0
67,67,64,L40,Micafungin,psoriasis,"psoriasis;psoriasis vulgaris;generalised pustular psoriasis;acrodermatitis continua;pustulosis palmaris et plantaris;guttate psoriasis;arthropathic psoriasis;other psoriasis;psoriasis, unspecified",psoriasis,0.0
68,68,65,M19,Midostaurin,arthrosis,"other arthrosis;primary arthrosis of other joints;posttraumatic arthrosis of other joints;other secondary arthrosis;other specified arthrosis;arthrosis, unspecified",arthrosis,1.0
69,69,66,N94,Risperidone,pain and conditions associated with female genital organs and menstrual cycle,"pain and other conditions associated with female genital organs and menstrual cycle;mittelschmerz;dyspareunia;vaginismus;premenstrual tension syndrome;primary dysmenorrhoea;secondary dysmenorrhoea;dysmenorrhoea, unspecified;other specified conditions associated with female genital organs and menstrual cycle;unspecified condition associated with female genital organs and menstrual cycle",pain and conditions associated with female genital organs and menstrual cycle,17.0
70,70,67,M13,Ingenol Mebutate,arthritis,"other arthritis;polyarthritis, unspecified;monoarthritis, not elsewhere classified;other specified arthritis;arthritis, unspecified",arthritis,3.0
71,71,68,E40,Reboxetine,kwashiorkor,kwashiorkor,kwashiorkor,0.0
72,72,69,I50,Propranolol,heart failure,"heart failure;congestive heart failure;left ventricular failure;heart failure, unspecified",heart failure,1102.0
73,73,70,L28,Cabozantinib,lichen simplex chronicus and prurigo,lichen simplex chronicus and prurigo;lichen simplex chronicus;prurigo nodularis;other prurigo,lichen simplex chronicus and prurigo,0.0
74,74,71,G95,Oxaprozin,diseases of spinal cord,"other diseases of spinal cord;syringomyelia and syringobulbia;vascular myelopathies;cord compression, unspecified;other specified diseases of spinal cord;disease of spinal cord, unspecified",diseases of spinal cord,0.0
75,75,72,K44,Regorafenib,diaphragmatic hernia,"diaphragmatic hernia;diaphragmatic hernia with obstruction, without gangrene;diaphragmatic hernia with gangrene;diaphragmatic hernia without obstruction or gangrene",diaphragmatic hernia,0.0
76,76,73,N04,Liraglutide,nephrotic syndrome,nephrotic syndrome;minor glomerular abnormality;focal and segmental glomerular lesions;diffuse membranous glomerulonephritis;diffuse mesangial proliferative glomerulonephritis;diffuse endocapillary proliferative glomerulonephritis;diffuse mesangiocapillary glomerulonephritis;dense deposit disease;diffuse crescentic glomerulonephritis;other;unspecified,nephrotic syndrome,0.0
77,77,74,K92,Immune Globulin Human,diseases of digestive system,"other diseases of digestive system;haematemesis;melaena;gastro-intestinal haemorrhage, unspecified;other specified diseases of digestive system;disease of digestive system, unspecified",diseases of digestive system,14940.0
78,78,75,D66,Levonorgestrel,hereditary factor viii deficiency,hereditary factor viii deficiency,hereditary factor viii deficiency,2.0
79,79,76,K81,Lacidipine,cholecystitis,"cholecystitis;acute cholecystitis;chronic cholecystitis;other cholecystitis;cholecystitis, unspecified",cholecystitis,0.0
80,80,77,L89,Ibuprofen,decubitus ulcer,"decubitus ulcer;stage i decubitus ulcer and pressure area;stage ii decubitus ulcer;stage iii decubitus ulcer;stage iv decubitus ulcer;decubitus ulcer and pressure area, unspecified",decubitus ulcer,12.0
81,81,78,C84,Tafamidis,peripheral and cutaneous t-cell lymphomas,"peripheral and cutaneous t-cell lymphomas;mycosis fungoides;sezary's diease;t-zone lymphoma;lymphoepithelioid lymphoma;peripheral t-cell lymphoma;other and unspecified t-cell lymphomas;anaplastic large cell lymphoma, alk-positive;anaplastic large cell lymphoma, alk-negative;cutaneous t-cell lymphoma, unspecified;mature t/nk-cell lymphoma, unspecified",peripheral and cutaneous t-cell lymphomas,77.0
82,82,79,F31,Fenoprofen,bipolar affective disorder,"bipolar affective disorder;bipolar affective disorder, current episode hypomanic;bipolar affective disorder, current episode manic without psychotic symptoms;bipolar affective disorder, current episode manic with psychotic symptoms;bipolar affective disorder, current episode mild or moderate depression;bipolar affective disorder, current episode severe depression without psychotic symptoms;bipolar affective disorder, current episode severe depression with psychotic symptoms;bipolar affective disorder, current episode mixed;bipolar affective disorder, currently in remission;other bipolar affective disorders;bipolar affective disorder, unspecified",bipolar affective disorder,0.0
83,83,80,I61,Erlotinib,intracerebral haemorrhage,"intracerebral haemorrhage;intracerebral haemorrhage in hemisphere, subcortical;intracerebral haemorrhage in hemisphere, cortical;intracerebral haemorrhage in hemisphere, unspecified;intracerebral haemorrhage in brain stem;intracerebral haemorrhage in cerebellum;intracerebral haemorrhage, intraventricular;intracerebral haemorrhage, multiple localised;other intracerebral haemorrhage;intracerebral haemorrhage, unspecified",intracerebral haemorrhage,0.0
84,84,81,E23,Carbamazepine,hypofunction and disorders of pituitary gland,"hypofunction and other disorders of pituitary gland;hypopituitarism;drug-induced hypopituitarism;diabetes insipidus;hypothalamic dysfunction, not elsewhere classified;other disorders of pituitary gland;disorder of pituitary gland, unspecified",hypofunction and disorders of pituitary gland,11.0
85,85,82,A78,Fexofenadine,q fever,q fever,q fever,0.0
86,86,83,D65,NADH,disseminated intravascular coagulation [defibrination syndrome],disseminated intravascular coagulation [defibrination syndrome],disseminated intravascular coagulation [defibrination syndrome],3.0
87,87,84,C04,St. John's Wort,malignant neoplasm of floor of mouth,"malignant neoplasm of floor of mouth;anterior floor of mouth;lateral floor of mouth;overlapping lesion of floor of mouth;floor of mouth, unspecified",malignant neoplasm of floor of mouth,0.0
88,88,85,L26,Nitric Oxide,exfoliative dermatitis,exfoliative dermatitis,exfoliative dermatitis,1.0
89,89,86,E23,Limaprost,hypofunction and disorders of pituitary gland,"hypofunction and other disorders of pituitary gland;hypopituitarism;drug-induced hypopituitarism;diabetes insipidus;hypothalamic dysfunction, not elsewhere classified;other disorders of pituitary gland;disorder of pituitary gland, unspecified",hypofunction and disorders of pituitary gland,0.0
90,90,87,M87,Leflunomide,osteonecrosis,"osteonecrosis;idiopathic aseptic necrosis of bone;osteonecrosis due to drugs;osteonecrosis due to previous trauma;other secondary osteonecrosis;other osteonecrosis;osteonecrosis, unspecified",osteonecrosis,2.0
91,91,88,D56,Alemtuzumab,thalassaemia,"thalassaemia;alpha thalassaemia;beta thalassaemia;delta-beta thalassaemia;thalassaemia trait;hereditary persistence of foetal haemoglobin [hpfh];other thalassaemias;thalassaemia, unspecified",thalassaemia,14.0
92,92,89,K50,Butorphanol,crohn's disease [regional enteritis],"crohn's disease [regional enteritis];crohn's disease of small intestine;crohn's disease of large intestine;other crohn's disease;crohn's disease, unspecified",crohn's disease [regional enteritis],0.0
93,93,90,I84,Carbinoxamine,haemorrhoids,haemorrhoids;internal thrombosed haemorrhoids;internal haemorrhoids with other complications;internal haemorrhoids without complication;external thrombosed haemorrhoids;external haemorrhoids with other complications;external haemorrhoids without complication;residual haemorrhoidal skin tags;unspecified thrombosed haemorrhoids;unspecified haemorrhoids with other complications;unspecified haemorrhoids without complication,haemorrhoids,0.0
94,94,91,K25,Ranitidine,gastric ulcer,"gastric ulcer;acute with haemorrhage;acute with perforation;acute with both haemorrhage and perforation;acute without haemorrhage or perforation;chronic or unspecified with haemorrhage;chronic or unspecified with perforation;chronic or unspecified with both haemorrhage and perforation;chronic without haemorrhage or perforation;unspecified as acute or chronic, without haemorrhage or perforation",gastric ulcer,1724.0
95,95,92,J41,Trimipramine,simple and mucopurulent chronic bronchitis,simple and mucopurulent chronic bronchitis;simple chronic bronchitis;mucopurulent chronic bronchitis;mixed simple and mucopurulent chronic bronchitis,simple and mucopurulent chronic bronchitis,0.0
96,96,93,E13,Nalbuphine,specified diabetes mellitus,other specified diabetes mellitus;with coma;with ketoacidosis;with renal complications;with ophthalmic complications;with neurological complications;with peripheral circulatory complications;with other specified complications;with multiple complications;with unspecified complications;without complications,specified diabetes mellitus,0.0
97,97,94,M35,Clinofibrate,systemic involvement of connective tissue,"other systemic involvement of connective tissue;sicca syndrome [sjogren];other overlap syndromes;behcet's disease;polymyalgia rheumatica;diffuse (eosinophilic) fasciitis;multifocal fibrosclerosis;relapsing panniculitis [weber-christian];hypermobility syndrome;other specified systemic involvement of connective tissue;systemic involvement of connective tissue, unspecified",systemic involvement of connective tissue,0.0
98,98,95,C66,Chlordiazepoxide,malignant neoplasm of ureter,malignant neoplasm of ureter,malignant neoplasm of ureter,0.0
99,99,96,B19,Liraglutide,unspecified viral hepatitis,unspecified viral hepatitis;unspecified viral hepatitis with coma;unspecified viral hepatitis without coma,viral hepatitis,1.0
100,100,97,K20,Lorcaserin,oesophagitis,oesophagitis,oesophagitis,1.0
101,101,98,K82,Phenelzine,diseases of gallbladder,"other diseases of gallbladder;obstruction of gallbladder;hydrops of gallbladder;perforation of gallbladder;fistula of gallbladder;cholesterolosis of gallbladder;other specified diseases of gallbladder;disease of gallbladder, unspecified",diseases of gallbladder,0.0
102,102,99,D59,Guanabenz,acquired haemolytic anaemia,"acquired haemolytic anaemia;drug-induced autoimmune haemolytic anaemia;other autoimmune haemolytic anaemias;drug-induced nonautoimmune haemolytic anaemia;haemolytic-uraemic syndrome;other nonautoimmune haemolytic anaemias;paroxysmal nocturnal haemoglobinuria [marchiafava-micheli];haemoglobinuria due to haemolysis from other external causes;other acquired haemolytic anaemias;acquired haemolytic anaemia, unspecified",acquired haemolytic anaemia,0.0
103,103,100,F31,Halazepam,bipolar affective disorder,"bipolar affective disorder;bipolar affective disorder, current episode hypomanic;bipolar affective disorder, current episode manic without psychotic symptoms;bipolar affective disorder, current episode manic with psychotic symptoms;bipolar affective disorder, current episode mild or moderate depression;bipolar affective disorder, current episode severe depression without psychotic symptoms;bipolar affective disorder, current episode severe depression with psychotic symptoms;bipolar affective disorder, current episode mixed;bipolar affective disorder, currently in remission;other bipolar affective disorders;bipolar affective disorder, unspecified",bipolar affective disorder,0.0
