Unnamed: 0,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,Result,reasoning_short,Extracted_Symptom,Harmonized_Symptom
32,1,"['K56', 'K59', 'K60']",Alvimopan,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Alvimopan is used for managing paralytic ileus and intestinal obstruction without hernia, with evidence from clinical trials (RCTs). It is not specifically indicated for fissure and fistula of anal and rectal regions, but it is relevant for the intestinal obstruction component.",paralytic ileus and intestinal obstruction without hernia,diarrhea in paralytic ileus and intestinal obstruction
33,1,"['K56', 'K59', 'K60']",Ketobemidone,0.000395848,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Ketobemidone is used for pain management in conditions like paralytic ileus and intestinal obstruction, with evidence from observational studies and accepted practice.",pain management in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
34,1,"['K56', 'K59', 'K60']",Methylnaltrexone,0.002071792,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,Used for managing symptoms of paralytic ileus and intestinal obstruction without hernia; indirect clinical support (observational/accepted practice). Not specific to the full combo.,symptoms of paralytic ileus and intestinal obstruction without hernia,diarrhea in paralytic ileus and intestinal obstruction
36,1,"['K56', 'K59', 'K60']",Pholcodine,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Pholcodine is used for analgesia and cough suppression, which can be relevant for managing symptoms like pain and discomfort in paralytic ileus and intestinal obstruction without hernia, as well as in fissure and fistula of anal and rectal regions. Indirect clinical support (observational/accepted practice).",analgesia and cough suppression,cough suppression
37,1,"['K56', 'K59', 'K60']",Eluxadoline,6.895780978528495e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Eluxadoline is used for treating conditions like irritable bowel syndrome with constipation, which is relevant to the trajectory's conditions such as paralytic ileus and intestinal obstruction without hernia, and functional intestinal disorders. The evidence type is observational studies and accepted practice.",treating conditions like irritable bowel syndrome with constipation,treating conditions like irritable bowel syndrome with constipation
39,1,"['K56', 'K59', 'K60']",Pentoxyverine,0.003574764,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,Pentoxyverine is used for functional intestinal disorders and may help with symptoms like constipation or straining; indirect support from practice guidelines.,functional intestinal disorders and may help with symptoms like constipation or straining,constipation in patients with functional intestinal disorders
40,1,"['K56', 'K59', 'K60']",Naldemedine,6.895780978528495e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Naldemedine is used for managing symptoms of paralytic ileus and intestinal obstruction without hernia, and it is also used for functional intestinal disorders; evidence from clinical guidelines and practice.",symptoms of paralytic ileus and intestinal obstruction without hernia,diarrhea in paralytic ileus and intestinal obstruction
42,3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Modafinil,0.020174151,"['scarlet fever', 'sleep disorders', 'disorders of lachrymal system', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess', 'viral warts', 'viral infection of site', 'facial nerve disorders', 'visual disturbances', 'perforation of tympanic membrane', 'disorders of middle ear and mastoid', 'bacterial pneumonia']",1,"Indirect evidence for sleep disorders management; no direct evidence for other conditions. Modafinil is commonly used for sleep disorders, which is part of the trajectory.",sleep disorders,sleep disorders
45,3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Pranlukast,0.026859825,"['scarlet fever', 'sleep disorders', 'disorders of lachrymal system', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess', 'viral warts', 'viral infection of site', 'facial nerve disorders', 'visual disturbances', 'perforation of tympanic membrane', 'disorders of middle ear and mastoid', 'bacterial pneumonia']",1,"Pranlukast is used for treating fungal infections like aspergillosis, which can be related to conditions like peritonsillar abscess and facial nerve disorders; indirect evidence from practice and observational studies.",treating fungal infections like aspergillosis,treating fungal infections like aspergillosis
46,3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Armodafinil,0.014664829,"['scarlet fever', 'sleep disorders', 'disorders of lachrymal system', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess', 'viral warts', 'viral infection of site', 'facial nerve disorders', 'visual disturbances', 'perforation of tympanic membrane', 'disorders of middle ear and mastoid', 'bacterial pneumonia']",1,Armodafinil is used for sleep disorders and related conditions; indirect support from observational studies and accepted practice.,sleep disorders and related conditions,sleep disorders
49,4,"['A41', 'C91']",Trimethoprim,0.021466132,"['septicaemia', 'lymphoid leukaemia']",1,Trimethoprim is used for bacterial infections like septicaemia and leukaemia-related conditions; indirect clinical support (observational/accepted practice). Not specific to the full combo.,bacterial infections like septicaemia and leukaemia-related conditions,bacterial infections like septicaemia and leukaemia-related conditions
50,4,"['A41', 'C91']",Methotrexate,0.027557483,"['septicaemia', 'lymphoid leukaemia']",1,Methotrexate is commonly used for lymphoid leukaemia (guidelines/RCTs); indirect support for septicaemia management (observational/accepted practice). Not specific to the full combo.,lymphoid leukaemia/rcts),lymphoid leukaemia
51,4,"['A41', 'C91']",Imatinib,0.015833255,"['septicaemia', 'lymphoid leukaemia']",1,"Imatinib is commonly used for treating lymphoid leukaemia, and there is indirect evidence supporting its use in septicaemia-related presentations; accepted practice in oncology settings.",treating lymphoid leukaemia,lymphoid leukaemia
52,4,"['A41', 'C91']",Dasatinib,4.884308488704227e-06,"['septicaemia', 'lymphoid leukaemia']",1,"Dasatinib is used for lymphoid leukaemia, which is part of the trajectory; evidence from clinical guidelines and studies (RCTs). Reasonable use for this condition.",lymphoid leukaemia,lymphoid leukaemia
53,4,"['A41', 'C91']",Sunitinib,0.005467804,"['septicaemia', 'lymphoid leukaemia']",1,"Indirect evidence for use in cancer-related conditions; Sunitinib is used for renal cell carcinoma, which is relevant to lymphoid leukaemia; no direct evidence for septicaemia.",renal cell carcinoma,renal cell carcinoma
54,4,"['A41', 'C91']",Nilotinib,0.001996202,"['septicaemia', 'lymphoid leukaemia']",1,"Nilotinib is used for lymphoid leukaemia, and while it is not specifically indicated for septicaemia, it is used for related conditions; indirect clinical support (observational/accepted practice).",lymphoid leukaemia,lymphoid leukaemia
55,4,"['A41', 'C91']",Bosutinib,0.003187016,"['septicaemia', 'lymphoid leukaemia']",1,"Bosutinib is used for lymphoid leukaemia, which is part of the trajectory; evidence from clinical trials (RCT) supports its use in this condition.",lymphoid leukaemia,lymphoid leukaemia
57,4,"['A41', 'C91']",Ponatinib,5.347189596638089e-07,"['septicaemia', 'lymphoid leukaemia']",1,"Ponatinib is used for certain types of leukaemia, including lymphoid leukaemia, and has evidence supporting its use in this condition (RCTs). It is not specifically indicated for septicaemia, but its use in leukaemia is plausible.",certain types of leukaemia,certain types of leukemia
60,4,"['A41', 'C91']",Venetoclax,0.011258716,"['septicaemia', 'lymphoid leukaemia']",1,"Venetoclax is used for lymphoid leukaemia, which is part of the trajectory; evidence from clinical trials (RCTs) supports its use in this condition.",lymphoid leukaemia,lymphoid leukaemia
61,4,"['A41', 'C91']",Fostamatinib,0.042243998,"['septicaemia', 'lymphoid leukaemia']",1,"Fostamatinib is used for managing lymphoid leukaemia (indirect evidence from clinical practice); no direct evidence for septicaemia, but plausible symptom management for related conditions.",lymphoid leukaemia (indirect evidence from clinical practice),lymphoid leukaemia
63,5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Clobetasol propionate,0.012154544,"['herpesviral [herpes simplex] infections', 'infectious diseases', 'chronic rhinitis, nasopharyngitis and pharyngitis', 'bronchitis', 'non-infective gastro-enteritis and colitis', 'disorders of teeth and supporting structures']",1,Clobetasol propionate is commonly used for inflammatory conditions like bronchitis and colitis; evidence from practice guidelines and observational studies supports its use for these symptoms.,inflammatory conditions like bronchitis and colitis,inflammatory conditions like bronchitis and colitis
64,5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Melatonin,0.019241145,"['herpesviral [herpes simplex] infections', 'infectious diseases', 'chronic rhinitis, nasopharyngitis and pharyngitis', 'bronchitis', 'non-infective gastro-enteritis and colitis', 'disorders of teeth and supporting structures']",1,"Melatonin is used for sleep disturbances, which can be relevant for conditions like bronchitis and colitis; indirect support from observational studies and practice.",sleep disturbances,sleep disorders
65,5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Dexamethasone,0.046132068,"['herpesviral [herpes simplex] infections', 'infectious diseases', 'chronic rhinitis, nasopharyngitis and pharyngitis', 'bronchitis', 'non-infective gastro-enteritis and colitis', 'disorders of teeth and supporting structures']",1,"Dexamethasone is commonly used for inflammation and immune response modulation, which can be relevant for conditions like bronchitis and nasopharyngitis; indirect clinical support (observational/accepted practice). Not specific to the full combo.",inflammation and immune response modulation,inflammation and immune response
68,5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Rilonacept,0.012154544,"['herpesviral [herpes simplex] infections', 'infectious diseases', 'chronic rhinitis, nasopharyngitis and pharyngitis', 'bronchitis', 'non-infective gastro-enteritis and colitis', 'disorders of teeth and supporting structures']",1,Rilonacept is used for inflammatory conditions like herpesviral infections and chronic rhinitis; evidence from clinical trials (RCTs) supports its use in similar inflammatory conditions.,inflammatory conditions like herpesviral infections and chronic rhinitis,inflammatory conditions like herpesviral infections and chronic rhinitis
69,5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Polaprezinc,0.012845008,"['herpesviral [herpes simplex] infections', 'infectious diseases', 'chronic rhinitis, nasopharyngitis and pharyngitis', 'bronchitis', 'non-infective gastro-enteritis and colitis', 'disorders of teeth and supporting structures']",1,"Polaprezinc is used for reducing gastric acid secretion, which is relevant for gastro-enteritis and colitis; indirect evidence from practice and observational studies.",reducing gastric acid secretion,reducing stomach acid
72,5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Binimetinib,0.002780214,"['herpesviral [herpes simplex] infections', 'infectious diseases', 'chronic rhinitis, nasopharyngitis and pharyngitis', 'bronchitis', 'non-infective gastro-enteritis and colitis', 'disorders of teeth and supporting structures']",1,"Binimetinib is used for treating melanoma, which is relevant to the trajectory's non-infective gastro-enteritis and colitis; indirect clinical support (observational/accepted practice). Not specific to the full combo.",treating melanoma,treating melanoma
77,7,"['B00', 'B08', 'B37', 'B99', 'H10', 'H66', 'J02', 'K21']",Nimesulide,0.031363092,"['herpesviral [herpes simplex] infections', 'specified viral infections characterised by skin and mucous membrane lesions', 'candidiasis', 'infectious diseases', 'conjunctivitis', 'chronic suppurative otitis media', 'acute pharyngitis', 'gastro-oesophageal reflux disease']",1,Nimesulide is used for inflammatory conditions like conjunctivitis and otitis media; indirect support from observational studies and accepted practice.,inflammatory conditions like conjunctivitis and otitis media,conjunctivitis
78,8,"['N10', 'N12']",Nelfinavir,0.013130202,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,"Indirect evidence from HIV treatment guidelines; Nelfinavir is used for HIV-related conditions, which may overlap with nephritis symptoms.",hiv-related conditions,hiv-related conditions
80,8,"['N10', 'N12']",Amsacrine,0.002805632,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,Amsacrine is used for acute tubulo-interstitial nephritis and tubulo-interstitial nephritis; evidence from clinical practice and case studies supports its use in these conditions.,acute tubulo-interstitial nephritis and tubulo-interstitial nephritis,symptoms in acute tubulo-interstitial nephritis and hepatic failure
86,8,"['N10', 'N12']",Chlorpromazine,0.031190521,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,Indirect clinical support for agitation/psychosis in acute kidney injury; observational studies suggest potential use in managing symptoms related to renal conditions.,symptoms related to renal conditions,symptoms of chronic kidney disease
87,8,"['N10', 'N12']",Ritonavir,0.019487366,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,"Ritonavir is commonly used for managing HIV-related nephropathies, which can include acute and chronic forms of tubulo-interstitial nephritis; indirect clinical support (observational/accepted practice).",hiv-related nephropathies,hiv-related nephropathies
90,8,"['N10', 'N12']",Cephalexin,0.010757256,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,"Cephalexin is commonly used for treating infections related to nephritis, including acute and tubulo-interstitial forms; evidence from clinical practice and guidelines.",treating infections related to nephritis,treating infections related to nephritis
91,8,"['N10', 'N12']",Imatinib,0.023423262,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,Indirect evidence from case studies and observational reports suggesting potential use in managing tubulo-interstitial nephritis symptoms; not specifically approved for acute tubulo-interstitial nephritis.,tubulo-interstitial nephritis symptoms,tubulo-interstitial nephritis symptoms
100,8,"['N10', 'N12']",Methoxyflurane,0.010757256,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,Methoxyflurane is used for renal colic and has indirect evidence for use in acute tubulo-interstitial nephritis; accepted practice in specific cases.,renal colic and has indirect evidence for use in acute tubulo-interstitial nephritis,renal colic and has indirect evidence for use in acute tubulo-interstitial nephritis
104,8,"['N10', 'N12']",Captopril,0.006432302,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,"Captopril is commonly used for managing hypertension and proteinuria in nephrotic syndrome, which aligns with the conditions of acute tubulo-interstitial nephritis and tubulo-interstitial nephritis; evidence from clinical practice and guidelines.",hypertension and proteinuria in nephrotic syndrome,hypertension and proteinuria
109,8,"['N10', 'N12']",Thiothixene,0.003636251,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,Thiothixene is used for agitation/psychosis in nephritis-related presentations; indirect clinical support (observational/accepted practice). Not specific to the full combo.,agitation/psychosis in nephritis-related presentations,agitation in acute renal failure
111,8,"['N10', 'N12']",Abiraterone,0.007451362,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,"Abiraterone is used for prostate cancer, which can be related to tubulo-interstitial nephritis; indirect evidence from clinical practice.",prostate cancer,prostate cancer
112,8,"['N10', 'N12']",Oxymetholone,0.009655058,"['acute tubulo-interstitial nephritis', 'tubulo-interstitial nephritis']",1,Indirect evidence from case studies and observational reports suggesting potential use in managing symptoms related to tubulo-interstitial nephritis.,symptoms related to tubulo-interstitial nephritis,tubulo-interstitial nephritis symptoms
120,9,"['J20', 'J98']",Orciprenaline,0.0419629,"['acute bronchitis', 'respiratory disorders']",1,"Orciprenaline is commonly used for respiratory disorders, particularly acute bronchitis, with evidence from RCTs and observational studies supporting its use in symptom management.",respiratory disorders,respiratory symptoms
123,9,"['J20', 'J98']",Procaterol,0.0419629,"['acute bronchitis', 'respiratory disorders']",1,"Procaterol is commonly used for respiratory disorders, including acute bronchitis, due to its bronchodilatory effects; indirect clinical support (observational/accepted practice).",respiratory disorders,respiratory symptoms
130,12,"['D64', 'D69', 'D70']",Cetuximab,0.025671563,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Cetuximab is used for agranulocytosis and purpura/haemorrhagic conditions; evidence from clinical practice and case studies.,agranulocytosis and purpura/haemorrhagic conditions,aplastic anemia and agranulocytosis
131,12,"['D64', 'D69', 'D70']",Etanercept,0.004148601,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Etanercept is used for managing symptoms of anaemia and related conditions; evidence from clinical guidelines and case studies support its use in agranulocytosis and purpura/haemorrhagic conditions.,symptoms of anaemia and related conditions,anaemia
134,12,"['D64', 'D69', 'D70']",Abciximab,0.000187998,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Used for managing anaemia-related bleeding (RCTs); indirect support for agranulocytosis management (observational studies). Not specific to purpura.,anaemia-related bleeding (rcts),anaemia-related bleeding (rcts)
135,12,"['D64', 'D69', 'D70']",Gemtuzumab ozogamicin,0.025671563,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Gemtuzumab ozogamicin is used for agranulocytosis and related conditions; evidence from clinical trials (RCTs) supports its use in this context.,agranulocytosis and related conditions,aplastic anemia and agranulocytosis
137,12,"['D64', 'D69', 'D70']",Rituximab,0.025671563,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Rituximab is used for B-cell depletion, which can be relevant in agranulocytosis and purpura/haemorrhagic conditions due to immune suppression; indirect clinical support (observational/accepted practice). Not specific to the full combo.",b-cell depletion,b-cell depletion
139,12,"['D64', 'D69', 'D70']",Muromonab,0.042146899,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Muromonab is used for purpura and haemorrhagic conditions due to its immunosuppressive properties; indirect evidence from case studies and practice.,purpura and haemorrhagic conditions due to its immunosuppressive properties,purpura and haemorrhagic conditions due to its anticoagulant properties
141,12,"['D64', 'D69', 'D70']",Tositumomab,0.020855245,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Tositumomab is used for B-cell lymphoma, which includes agranulocytosis; indirect evidence supports its use in purpura and haemorrhagic conditions due to its effects on B-cells.",b-cell lymphoma,b-cell lymphoma
142,12,"['D64', 'D69', 'D70']",Alemtuzumab,0.020855245,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Alemtuzumab is used for agranulocytosis and related conditions; indirect evidence from clinical practice and guidelines.,agranulocytosis and related conditions,aplastic anemia and agranulocytosis
147,12,"['D64', 'D69', 'D70']",Palivizumab,0.020855245,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Palivizumab is used for preventing RSV infections in high-risk groups, which includes some conditions like agranulocytosis; indirect clinical support (observational/accepted practice). Not specific to the full combo.",preventing rsv infections in high-risk groups,preventing rsv infections in high-risk groups
148,12,"['D64', 'D69', 'D70']",Bevacizumab,0.020855245,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Bevacizumab is used for conditions like anaemia and purpura due to its anti-VEGF properties, which can reduce vascular permeability and manage symptoms; evidence from clinical practice and case studies.",conditions like anaemia and purpura due to its anti-vegf properties,conditions like anaemia and purpura due to its anti-vegf properties
150,12,"['D64', 'D69', 'D70']",Menadione,0.000918712,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Menadione is used for purpura and haemorrhagic conditions due to vitamin K deficiency; indirect evidence from observational studies and accepted practice.,purpura and haemorrhagic conditions due to vitamin k deficiency,vitamin k deficiency
158,12,"['D64', 'D69', 'D70']",Dapsone,0.042146899,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Dapsone is used for agranulocytosis and related conditions; indirect support from practice and observational studies.,agranulocytosis and related conditions,aplastic anemia and agranulocytosis
161,12,"['D64', 'D69', 'D70']",Argatroban,0.02738023,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Argatroban is used for purpura and haemorrhagic conditions due to its anticoagulant properties; indirect clinical support (observational/accepted practice). Not specific to the full combo.,purpura and haemorrhagic conditions due to its anticoagulant properties,purpura and haemorrhagic conditions due to its anticoagulant properties
172,12,"['D64', 'D69', 'D70']",Grepafloxacin,0.016871284,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Grepafloxacin is used for infections like purpura and haemorrhagic conditions, and agranulocytosis is a known side effect; indirect clinical support (observational/accepted practice). Not specific to the full combo.",infections like purpura and haemorrhagic conditions,haemorrhagic conditions and purpura
174,12,"['D64', 'D69', 'D70']",Beclomethasone dipropionate,0.02738023,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Used for inflammation and immune response modulation; indirect evidence for managing symptoms like purpura and haemorrhagic conditions (observational/accepted practice). Not specific to the full combo.,purpura and haemorrhagic conditions (observational/accepted practice),haemorrhagic conditions and purpura
178,12,"['D64', 'D69', 'D70']",Spironolactone,0.003284466,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Spironolactone is used for conditions like purpura and haemorrhagic conditions due to its diuretic and potassium-sparing properties; indirect clinical support (observational/accepted practice). Not specific to the full combo.,conditions like purpura and haemorrhagic conditions due to its diuretic and potassium-sparing properties,conditions like purpura and haemorrhagic conditions due to its diuretic and potassium-sparing properties
180,12,"['D64', 'D69', 'D70']",Trimethoprim,0.004679119,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,Trimethoprim is used for purpura and haemorrhagic conditions due to folate deficiency; indirect evidence from practice and observational studies.,purpura and haemorrhagic conditions due to folate deficiency,purpura and haemorrhagic conditions due to folate deficiency
181,12,"['D64', 'D69', 'D70']",Betamethasone,0.044494523,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Betamethasone is used for inflammation and immune response modulation, which can be relevant for purpura and haemorrhagic conditions; indirect support from practice and observational studies.",inflammation and immune response modulation,inflammation and immune response
183,12,"['D64', 'D69', 'D70']",Quinine,0.007400884,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Historically used for malaria, which can cause anaemias and purpura; indirect evidence for agranulocytosis management; not specific to the full combo.",malaria,malaria
184,12,"['D64', 'D69', 'D70']",Zidovudine,0.013597049,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Zidovudine is used for managing HIV-related conditions, which can include anaemias and agranulocytosis; indirect evidence from practice and observational studies.",hiv-related conditions,hiv-related conditions
185,12,"['D64', 'D69', 'D70']",Ritonavir,3.685209942913927e-06,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Ritonavir is used for managing HIV-related conditions, which can include anaemias and agranulocytosis; indirect evidence from practice and observational studies.",hiv-related conditions,hiv-related conditions
187,12,"['D64', 'D69', 'D70']",Caspofungin,0.007095538,"['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']",1,"Caspofungin is used for invasive aspergillosis, which can be a complication in agranulocytosis; indirect evidence from practice and observational studies.",invasive aspergillosis,invasive aspergillosis
