,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
19,55,Venetoclax,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 1, 0]",0.3333333333333333
20,106,Hexobarbital,"['M42', 'M51', 'M54']","['spinal osteochondrosis', 'intervertebral disk disorders', 'dorsalgia']","[0, 0, 0]",0.0
21,110,Prednisolone,"['N18', 'D64']","['chronic renal failure', 'anaemias']","[869, 2481]",1675.0
22,79,Pitavastatin,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']","[0, 5, 0, 1, 8, 0, 2, 8]",3.0
23,370,Mersalyl,"['D72', 'C83', 'C85', 'C91']","['disorders of white blood cells', ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma"", 'lymphoid leukaemia']","[0, 0, 0, 0]",0.0
24,82_87,Acetaminophen,"['F20', 'F25']","['schizophrenia', 'schizoaffective disorders']","[48, 25]",36.5
25,122_194,Nitrazepam,"['E10', 'E16', 'H36']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'retinal disorders in diseases classified elsewhere']","[0, 0, 0]",0.0
26,323,DL-Methylephedrine,"['K60', 'I84', 'D21']","['fissure and fistula of anal and rectal regions', 'haemorrhoids', 'benign neoplasms of connective and soft tissue']","[0, 0, 0]",0.0
27,348,Hyaluronidase,"['N32', 'N40', 'N41', 'N21', 'N42']","['disorders of bladder', 'hyperplasia of prostate', 'inflammatory diseases of prostate', 'calculus of lower urinary tract', 'disorders of prostate']","[36, 13, 8, 0, 17]",14.8
28,333_412,Opicapone,"['K80', 'K81', 'K82']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0]",0.0
29,266,Cephalexin,"['N39', 'I95']","['disorders of urinary system', 'hypotension']","[8, 40]",24.0
30,55,Desvenlafaxine,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[8, 14, 14]",12.0
31,408,Moroctocog alfa,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0, 1, 0, 1, 2, 0]",0.4444444444444444
32,200,Fludeoxyglucose F-18,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']","[128, 57, 2043, 115, 46, 0, 0, 0, 0, 23, 3, 1087, 42]",272.61538461538464
33,262,Carbamazepine,"['I25', 'I13', 'I30', 'I33', 'K04']","['chronic ischaemic heart disease', 'hypertensive heart and renal disease', 'acute pericarditis', 'acute and subacute endocarditis', 'diseases of pulp and periapical tissues']","[2, 316, 2, 0, 0]",64.0
34,85,Dexfenfluramine,"['F41', 'F45']","['anxiety disorders', 'somatoform disorders']","[5, 0]",2.5
35,292,Desonide,"['E10', 'E13', 'E16']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion']","[0, 0]",0.0
36,238,Methoxsalen,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']","[1, 0, 2, 0, 0, 0]",0.5
37,383,Triflusal,"['G60', 'H57', 'F09', 'I25', 'I99', 'J01', 'J41', 'M46']","['hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'organic or symptomatic mental disorder', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']","[1, 0, 1, 1, 8, 0, 0, 0]",1.375
38,131,Bromfenac,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']","[0, 0, 0, 0, 0]",0.0
39,274,Linezolid,"['J47', 'J44', 'A16', 'B44', 'D52', 'J04', 'J39', 'L28', 'M00']","['bronchiectasis', 'chronic obstructive pulmonary disease', 'respiratory tuberculosis', 'aspergillosis', 'folate deficiency anaemia', 'acute laryngitis and tracheitis', 'diseases of upper respiratory tract', 'lichen simplex chronicus and prurigo', 'pyogenic arthritis']","[27, 35, 486, 6, 0, 6, 7, 0, 74]",71.22222222222223
40,134,Fostamatinib,"['M42', 'M51', 'M54', 'G54', 'M62']","['spinal osteochondrosis', 'intervertebral disk disorders', 'dorsalgia', 'nerve root and plexus disorders', 'disorders of muscle']","[0, 0, 0, 0, 2]",0.4
41,273,Levetiracetam,"['B37', 'C34', 'C38', 'C71', 'D43', 'J82', 'J93']","['candidiasis', 'malignant neoplasm of bronchus and lung', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of brain', 'neoplasm of uncertain or unknown behaviour of brain and central nervous system', 'pulmonary eosinophilia', 'pneumothorax']","[0, 39, 0, 220, 804, 6, 2]",153.0
42,2,Safinamide,"['A04', 'A08', 'F50']","['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 0]",0.0
43,79,Pargyline,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']","[0, 0, 14, 87, 1, 4, 0]",15.142857142857142
44,119,Homosalate,"['F70', 'D75', 'D52', 'F10', 'F22', 'G31', 'L21', 'C10', 'C13', 'E53', 'H10', 'I86', 'N62']","['mild mental retardation', 'diseases of blood and blood-forming organs', 'folate deficiency anaemia', 'mental and behavioural disorders due to use of alcohol', 'persistent delusional disorders', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'malignant neoplasm of oropharynx', 'malignant neoplasm of hypopharynx', 'deficiency of b group vitamins', 'conjunctivitis', 'varicose veins of specified sites', 'hypertrophy of breast']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
45,47,Ibritumomab tiuxetan,"['N12', 'N39']","['tubulo-interstitial nephritis', 'disorders of urinary system']","[0, 0]",0.0
46,205,Norgestrel,"['D52', 'J41', 'L71', 'F17', 'J42', 'J13', 'J39', 'K04', 'K08', 'K12', 'L08', 'N62']","['folate deficiency anaemia', 'simple and mucopurulent chronic bronchitis', 'rosacea', 'mental and behavioural disorders due to use of tobacco', 'chronic bronchitis', 'pneumonia due to streptococcus pneumoniae', 'diseases of upper respiratory tract', 'diseases of pulp and periapical tissues', 'disorders of teeth and supporting structures', 'stomatitis and related lesions', 'local infections of skin and subcutaneous tissue', 'hypertrophy of breast']","[2, 0, 0, 0, 0, 0, 2, 0, 95, 48, 21, 0]",14.0
47,11,Dolutegravir,"['C71', 'C79', 'H53']","['malignant neoplasm of brain', 'secondary malignant neoplasm of specified sites', 'visual disturbances']","[1, 0, 0]",0.3333333333333333
48,408,Gestrinone,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
49,55,Meprobamate,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[32, 2366, 4]",800.6666666666666
50,82_87,Clobetasone,"['F20', 'F25']","['schizophrenia', 'schizoaffective disorders']","[0, 0]",0.0
51,411,Arzoxifene,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']","[0, 0]",0.0
52,200,Aminocaproic Acid,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']","[79, 1, 17, 2, 1, 0, 0, 0, 3, 1, 6, 19, 0]",9.923076923076923
53,3,Dienestrol,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']","[0, 3]",1.5
54,408,Oxaprozin,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
55,351,Gemfibrozil,"['A02', 'A48', 'A69', 'B07', 'B36', 'B44', 'B49', 'B86', 'C11', 'C26', 'C41', 'C45', 'C50', 'C60', 'C66', 'C69', 'C76', 'C84', 'C88', 'D03', 'D07', 'D31', 'D34', 'D51', 'D89', 'E07', 'E22', 'E23', 'E27', 'E46', 'E74', 'E85', 'F52', 'G24', 'G52', 'G90', 'G92', 'H21', 'H31', 'H55', 'H61', 'J02', 'J11', 'J12', 'J61', 'K11', 'K41', 'L25', 'L60', 'L80', 'L81', 'M12', 'M60', 'N11', 'N34', 'N36', 'N50']","['salmonella infections', 'bacterial diseases', 'spirochaetal infections', 'viral warts', 'superficial mycoses', 'aspergillosis', 'mycosis', 'scabies', 'malignant neoplasm of nasopharynx', 'malignant neoplasm of ill-defined digestive organs', 'malignant neoplasm of bone and articular cartilage of sites', 'mesothelioma', 'malignant neoplasm of breast', 'malignant neoplasm of penis', 'malignant neoplasm of ureter', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'peripheral and cutaneous t-cell lymphomas', 'malignant immunoproliferative diseases', 'melanoma in situ', 'carcinoma in situ of genital organs', 'benign neoplasm of eye and adnexa', 'benign neoplasm of thyroid gland', 'vitamin b12 deficiency anaemia', 'disorders involving the immune mechanism', 'disorders of thyroid', 'hyperfunction of pituitary gland', 'hypofunction and disorders of pituitary gland', 'disorders of adrenal gland', 'protein-energy malnutrition', 'disorders of carbohydrate metabolism', 'amyloidosis', 'sexual dysfunction', 'dystonia', 'disorders of cranial nerves', 'disorders of autonomic nervous system', 'toxic encephalopathy', 'disorders of iris and ciliary body', 'disorders of choroid', 'nystagmus and irregular eye movements', 'disorders of external ear', 'acute pharyngitis', 'influenza virus', 'viral pneumonia', 'pneumoconiosis due to asbestos and mineral fibres', 'diseases of salivary glands', 'femoral hernia', 'contact dermatitis', 'nail disorders', 'vitiligo', 'disorders of pigmentation', 'specific arthropathies', 'myositis', 'chronic tubulo-interstitial nephritis', 'urethritis and urethral syndrome', 'disorders of urethra', 'disorders of male genital organs']","[0, 10, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 5, 0, 0, 1, 0, 35, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 7, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 0, 3, 0, 0, 2, 1, 35, 0, 0, 0, 1]",2.210526315789474
56,374,Esomeprazole,"['L95', 'C45', 'D89', 'E01', 'E72', 'G90', 'I10', 'I22', 'I33', 'I60', 'I78', 'J04', 'J13', 'K27', 'L08', 'L20', 'L21', 'L23', 'L29', 'L50', 'L71', 'L85', 'M05', 'M31', 'M45', 'M85', 'M96', 'N62']","['vasculitis limited to skin', 'mesothelioma', 'disorders involving the immune mechanism', 'iodine-deficiency-related thyroid disorders and allied conditions', 'disorders of amino-acid metabolism', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'acute laryngitis and tracheitis', 'pneumonia due to streptococcus pneumoniae', 'acute with perforation', 'local infections of skin and subcutaneous tissue', 'atopic dermatitis', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'urticaria', 'rosacea', 'epidermal thickening', 'seropositive rheumatoid arthritis', 'necrotising vasculopathies', 'ankylosing spondylitis', 'disorders of bone density and structure', 'postprocedural musculoskeletal disorders', 'hypertrophy of breast']","[0, 0, 4, 3, 10, 1, 0, 2, 0, 1, 2, 1, 0, 3, 1, 0, 0, 3, 4, 7, 0, 0, 0, 10, 5, 85, 0, 0]",5.071428571428571
57,110,Heroin,"['N18', 'D64']","['chronic renal failure', 'anaemias']","[66, 49]",57.5
58,123,Etomidate,"['E13', 'H40', 'E11', 'G63', 'H25', 'H26', 'M86', 'N48', 'I79', 'L03']","['specified diabetes mellitus', 'glaucoma', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'senile cataract', 'cataract', 'osteomyelitis', 'disorders of penis', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis']","[1, 1, 1, 0, 0, 11, 0, 0, 0, 0]",1.4
59,77,Phenformin,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']","[12, 0, 0, 0, 0, 0]",2.0
60,228,Cimetidine,"['J41', 'J44', 'J47', 'G61', 'H10', 'J40', 'J82']","['simple and mucopurulent chronic bronchitis', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'inflammatory polyneuropathy', 'conjunctivitis', 'bronchitis', 'pulmonary eosinophilia']","[0, 14, 3, 3, 10, 2]",5.333333333333333
61,299,Amantadine,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']","[105, 1, 105]",70.33333333333333
62,10,Gliclazide,"['J20', 'J30', 'J42', 'L30', 'D80']","['acute bronchitis', 'vasomotor and allergic rhinitis', 'chronic bronchitis', 'dermatitis', 'immunodeficiency with antibody defects']","[0, 0, 0, 0]",0.0
63,157_240,Warfarin,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']","[14, 26, 12, 7]",14.75
64,414,Proguanil,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas']","[0, 1, 2, 0, 0, 1]",0.6666666666666666
65,10,Ketoconazole,"['J20', 'J30', 'J42', 'L30', 'D80']","['acute bronchitis', 'vasomotor and allergic rhinitis', 'chronic bronchitis', 'dermatitis', 'immunodeficiency with antibody defects']","[2, 18, 2, 357, 6]",77.0
66,458,Isoflurane,"['M19', 'M25', 'M75']","['arthrosis', 'joint disorders', 'shoulder lesions']","[42, 49, 0]",30.333333333333332
67,112,Albendazole,"['B16', 'B18', 'K73', 'C22']","['acute hepatitis b', 'chronic viral hepatitis', 'chronic hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts']","[0, 1, 12, 61]",18.5
68,67,Bendroflumethiazide,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']","[0, 0]",0.0
69,348,Tolcapone,"['N32', 'N40', 'N41', 'N21', 'N42']","['disorders of bladder', 'hyperplasia of prostate', 'inflammatory diseases of prostate', 'calculus of lower urinary tract', 'disorders of prostate']","[1, 0, 0, 0]",0.25
70,450,Rivastigmine,"['H36', 'E10', 'E13', 'E16', 'H26', 'H33', 'H35']","['retinal disorders in diseases classified elsewhere', 'insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks', 'retinal disorders']","[0, 2, 0, 0, 2, 8]",2.0
71,417,Levodopa,"['L84', 'N25', 'N18']","['corns and callosities', 'disorders resulting from impaired renal tubular function', 'chronic renal failure']","[0, 0, 46]",15.333333333333334
72,15_73,Bifonazole,"['E10', 'E14', 'E16']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']","[0, 4, 0]",1.3333333333333333
73,408,Artemether,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[4, 0, 3, 0, 2, 0, 0, 0, 1, 0]",1.0
74,129,Etanercept,"['F17', 'G45', 'J15', 'J20', 'J93', 'L05']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'bacterial pneumonia', 'acute bronchitis', 'pneumothorax', 'pilonidal cyst']","[0, 157, 24, 1, 5, 1]",31.333333333333332
75,55,Avatrombopag,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 0, 0]",0.0
76,390,Caspofungin,"['G91', 'I60', 'D73', 'F52', 'G30', 'L28', 'E11', 'E55', 'F00', 'F05', 'H49', 'A48', 'C76', 'D34', 'H60', 'L08', 'M00', 'N04']","['hydrocephalus', 'subarachnoid haemorrhage', 'diseases of spleen', 'sexual dysfunction', ""alzheimer's disease"", 'lichen simplex chronicus and prurigo', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', ""dementia in alzheimer's disease"", 'delirium', 'paralytic strabismus', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'benign neoplasm of thyroid gland', 'otitis externa', 'local infections of skin and subcutaneous tissue', 'pyogenic arthritis', 'nephrotic syndrome']","[4, 3, 18, 0, 2, 0, 7, 0, 0, 0, 252, 1, 4, 10, 10, 1]",19.5
77,334,Propiverine,"['L28', 'K76', 'D73', 'E51', 'M89']","['lichen simplex chronicus and prurigo', 'diseases of liver', 'diseases of spleen', 'thiamine deficiency', 'disorders of bone']","[0, 1, 0, 0, 4]",1.0
78,212,Rasagiline,"['F17', 'J01', 'J37', 'J38', 'J42', 'J43', 'J93', 'J02']","['mental and behavioural disorders due to use of tobacco', 'acute sinusitis', 'chronic laryngitis and laryngotracheitis', 'diseases of vocal cords and larynx', 'chronic bronchitis', 'emphysema', 'pneumothorax', 'acute pharyngitis']","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
79,376,Dexrazoxane,"['E79', 'L82', 'H61', 'L21', 'M54', 'M79']","['disorders of purine and pyrimidine metabolism', 'seborrhoeic keratosis', 'disorders of external ear', 'seborrhoeic dermatitis', 'dorsalgia', 'soft tissue disorders']","[8, 0, 0, 0, 0, 11]",3.1666666666666665
80,190,Trastuzumab emtansine,"['M54', 'G54', 'L50', 'M71', 'M76']","['dorsalgia', 'nerve root and plexus disorders', 'urticaria', 'bursopathies', 'enthesopathies of lower limb, excluding foot']","[0, 0, 0, 0]",0.0
81,216,Moexipril,"['H91', 'H93', 'H81', 'H90']","['hearing loss', 'disorders of ear', 'disorders of vestibular function', 'conductive and sensorineural hearing loss']","[0, 0, 0, 5]",1.25
82,110,Bifonazole,"['N18', 'D64']","['chronic renal failure', 'anaemias']","[0, 0]",0.0
83,179,Rasagiline,"['C61', 'N32', 'N40', 'D40']","['malignant neoplasm of prostate', 'disorders of bladder', 'hyperplasia of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs']","[1, 1, 0, 0]",0.5
84,125,Dihydrocodeine,"['K29', 'K31', 'K51', 'K58', 'K59']","['gastritis and duodenitis', 'diseases of stomach and duodenum', 'ulcerative colitis', 'irritable bowel syndrome', 'functional intestinal disorders']","[0, 0, 0, 0, 1]",0.2
85,64,Meclofenamic acid,"['K76', 'K65']","['diseases of liver', 'peritonitis']","[8, 9]",8.5
86,78,Captodiame,"['F20', 'F12', 'F15', 'F25', 'F31']","['schizophrenia', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of stimulants, including caffeine', 'schizoaffective disorders', 'bipolar affective disorder']","[0, 0, 0, 0]",0.0
