ICD	Disease Name	Consensus Name	PubMed_query_name
A42	"actinomycosis;pulmonary actinomycosis;abdominal actinomycosis;cervicofacial actinomycosis;actinomycotic septicaemia;other forms of actinomycosis;actinomycosis, unspecified"	actinomycosis	actinomycosis
A43	"nocardiosis;pulmonary nocardiosis;cutaneous nocardiosis;other forms of nocardiosis;nocardiosis, unspecified"	nocardiosis	nocardiosis
A44	"bartonellosis;systemic bartonellosis;cutaneous and mucocutaneous bartonellosis;other forms of bartonellosis;bartonellosis, unspecified"	bartonellosis	bartonellosis
A46	erysipelas	erysipelas	erysipelas
A48	"other bacterial diseases, not elsewhere classified;gas gangrene;legionnaires' disease;nonpneumonic legionnaires' disease [pontiac fever];toxic shock syndrome;brazilian purpuric fever;other specified bacterial diseases"	"bacterial diseases, not elsewhere classified"	bacterial diseases
A49	"bacterial infection of unspecified site;staphylococcal infection, unspecified;streptococcal infection, unspecified;haemophilus influenzae infection, unspecified;mycoplasma infection, unspecified;other bacterial infections of unspecified site;bacterial infection, unspecified"	bacterial infection of site	bacterial infection of site
A50	"congenital syphilis;early congenital syphilis, symptomatic;early congenital syphilis, latent;early congenital syphilis, unspecified;late congenital syphilitic oculopathy;late congenital neurosyphilis [juvenile neurosyphilis];other late congenital syphilis, symptomatic;late congenital syphilis, latent;late congenital syphilis, unspecified;congenital syphilis, unspecified"	congenital syphilis	congenital syphilis
A51	"early syphilis;primary genital syphilis;primary anal syphilis;primary syphilis of other sites;secondary syphilis of skin and mucous membranes;other secondary syphilis;early syphilis, latent;early syphilis, unspecified"	early syphilis	early syphilis
A52	"late syphilis;cardiovascular syphilis;symptomatic neurosyphilis;asymptomatic neurosyphilis;neurosyphilis, unspecified;other symptomatic late syphilis;late syphilis, latent;late syphilis, unspecified"	late syphilis	late syphilis
A53	"other and unspecified syphilis;latent syphilis, unspecified as early or late;syphilis, unspecified"	syphilis	syphilis
A54	"gonococcal infection;gonococcal infection of lower genito-urinary tract without periurethral or accessory gland abscess;gonococcal infection of lower genito-urinary tract with periurethral and accessory gland abscess;gonococcal pelviperitonitis and other gonococcal genito-urinary infections;gonococcal infection of eye;gonococcal infection of musculoskeletal system;gonococcal pharyngitis;gonococcal infection of anus and rectum;other gonococcal infections;gonococcal infection, unspecified"	gonococcal infection	gonococcal infection
A55	chlamydial lymphogranuloma (venereum)	chlamydial lymphogranuloma (venereum)	chlamydial lymphogranuloma (venereum)
A56	"other sexually transmitted chlamydial diseases;chlamydial infection of lower genito-urinary tract;chlamydial infection of pelviperitoneum and other genito-urinary organs;chlamydial infection of genito-urinary tract, unspecified;chlamydial infection of anus and rectum;chlamydial infection of pharynx;sexually transmitted chlamydial infection of other sites"	sexually transmitted chlamydial diseases	sexually transmitted chlamydial diseases
A57	chancroid	chancroid	chancroid
A58	granuloma inguinale	granuloma inguinale	granuloma inguinale
A59	"trichomoniasis;urogenital trichomoniasis;trichomoniasis of other sites;trichomoniasis, unspecified"	trichomoniasis	trichomoniasis
A60	"anogenital herpesviral [herpes simplex] infections;herpesviral infection of genitalia and urogenital tract;herpesviral infection of perianal skin and rectum;anogenital herpesviral infection, unspecified"	anogenital herpesviral [herpes simplex] infections	anogenital herpesviral [herpes simplex] infections
A63	"other predominantly sexually transmitted diseases, not elsewhere classified;anogenital (venereal) warts;other specified predominantly sexually transmitted diseases"	"predominantly sexually transmitted diseases, not elsewhere classified"	sexually transmitted diseases
A64	unspecified sexually transmitted disease	unspecified sexually transmitted disease	sexually transmitted disease
A65	non-venereal syphilis	non-venereal syphilis	non-venereal syphilis
A66	"yaws;initial lesions of yaws;multiple papillomata and wet crab yaws;other early skin lesions of yaws;hyperkeratosis of yaws;gummata and ulcers of yaws;gangosa;bone and joint lesions of yaws;other manifestations of yaws;latent yaws;yaws, unspecified"	yaws	yaws
A67	"pinta [carate];primary lesions of pinta;intermediate lesions of pinta;late lesions of pinta;mixed lesions of pinta;pinta, unspecified"	pinta [carate]	pinta [carate]
A68	"relapsing fevers;louse-borne relapsing fever;tick-borne relapsing fever;relapsing fever, unspecified"	relapsing fevers	relapsing fevers
A69	"other spirochaetal infections;necrotising ulcerative stomatitis;other vincent's infections;lyme disease;other specified spirochaetal infections;spirochaetal infection, unspecified"	spirochaetal infections	spirochaetal infections
A70	chlamydia psittaci infection	chlamydia psittaci infection	chlamydia psittaci infection
A71	"trachoma;initial stage of trachoma;active stage of trachoma;trachoma, unspecified"	trachoma	trachoma
A74	"other diseases caused by chlamydiae;chlamydial conjunctivitis;other chlamydial diseases;chlamydial infection, unspecified"	chlamydial diseases	chlamydial diseases
A75	"typhus fever;epidemic louse-borne typhus fever due to rickettsia prowazekii;recrudescent typhus [brill's disease];typhus fever due to rickettsia typhi;typhus fever due to rickettsia tsutsugamushi;typhus fever, unspecified"	typhus fever	typhus fever
A77	"spotted fever [tick-borne rickettsioses];spotted fever due to rickettsia rickettsii;spotted fever due to rickettsia conorii;spotted fever due to rickettsia siberica;spotted fever due to rickettsia australis;other spotted fevers;spotted fever, unspecified"	spotted fever [tick-borne rickettsioses]	spotted fever [tick-borne rickettsioses]
A78	q fever	q fever	q fever
A79	"other rickettsioses;trench fever;rickettsialpox due to rickettsia akari;other specified rickettsioses;rickettsiosis, unspecified"	rickettsioses	rickettsioses
A80	"acute poliomyelitis;acute paralytic poliomyelitis, vaccine-associated;acute paralytic poliomyelitis, wild virus, imported;acute paralytic poliomyelitis, wild virus, indigenous;acute paralytic poliomyelitis, other and unspecified;acute nonparalytic poliomyelitis;acute poliomyelitis, unspecified"	acute poliomyelitis	acute poliomyelitis
A81	"atypical virus infections of central nervous system;creutzfeldt-jakob disease;subacute sclerosing panencephalitis;progressive multifocal leukoencephalopathy;other atypical virus infections of central nervous system;atypical virus infection of central nervous system, unspecified"	atypical virus infections of central nervous system	atypical virus infections of central nervous system
A82	"rabies;sylvatic rabies;urban rabies;rabies, unspecified"	rabies	rabies
A83	"mosquito-borne viral encephalitis;japanese encephalitis;western equine encephalitis;eastern equine encephalitis;st. louis encephalitis;australian encephalitis;california encephalitis;rocio virus disease;other mosquito-borne viral encephalitis;mosquito-borne viral encephalitis, unspecified"	mosquito-borne viral encephalitis	mosquito-borne viral encephalitis
A84	"tick-borne viral encephalitis;far eastern tick-borne encephalitis [russian spring-summer encephalitis];central european tick-borne encephalitis;other tick-borne viral encephalitis;tick-borne viral encephalitis, unspecified"	tick-borne viral encephalitis	tick-borne viral encephalitis
A85	"other viral encephalitis, not elsewhere classified;enteroviral encephalitis;adenoviral encephalitis;arthropod-borne viral encephalitis, unspecified;other specified viral encephalitis"	"viral encephalitis, not elsewhere classified"	viral encephalitis
A86	unspecified viral encephalitis	unspecified viral encephalitis	viral encephalitis
A87	"viral meningitis;enteroviral meningitis;adenoviral meningitis;lymphocytic choriomeningitis;other viral meningitis;viral meningitis, unspecified"	viral meningitis	viral meningitis
A88	"other viral infections of central nervous system, not elsewhere classified;enteroviral exanthematous fever [boston exanthem];epidemic vertigo;other specified viral infections of central nervous system"	"viral infections of central nervous system, not elsewhere classified"	viral infections of central nervous system
A89	unspecified viral infection of central nervous system	unspecified viral infection of central nervous system	viral infection of central nervous system
A90	dengue fever [classical dengue]	dengue fever [classical dengue]	dengue fever [classical dengue]
A91	dengue haemorrhagic fever	dengue haemorrhagic fever	dengue haemorrhagic fever
A92	"other mosquito-borne viral fevers;chikungunya virus disease;o'nyong-nyong fever;venezuelan equine fever;west nile fever;rift valley fever;zika virus disease;other specified mosquito-borne viral fevers;mosquito-borne viral fever, unspecified"	mosquito-borne viral fevers	mosquito-borne viral fevers
A93	"other arthropod-borne viral fevers, not elsewhere classified;oropouche virus disease;sandfly fever;colorado tick fever;other specified arthropod-borne viral fevers"	specified arthropod-borne viral fevers	specified arthropod-borne viral fevers
A94	unspecified arthropod-borne viral fever	unspecified arthropod-borne viral fever	arthropod-borne viral fever
A95	"yellow fever;sylvatic yellow fever;urban yellow fever;yellow fever, unspecified"	yellow fever	yellow fever
A96	"arenaviral haemorrhagic fever;junin haemorrhagic fever;machupo haemorrhagic fever;lassa fever;other arenaviral haemorrhagic fevers;arenaviral haemorrhagic fever, unspecified"	arenaviral haemorrhagic fever	arenaviral haemorrhagic fever
A97	"dengue;dengue without warning signs;dengue with warning signs;severe dengue;dengue,  unspecified"	dengue	dengue
A98	"other viral haemorrhagic fevers, not elsewhere classified;crimean-congo haemorrhagic fever;omsk haemorrhagic fever;kyasanur forest disease;marburg virus disease;ebola virus disease;haemorrhagic fever with renal syndrome;other specified viral haemorrhagic fevers"	"viral haemorrhagic fevers, not elsewhere classified"	viral haemorrhagic fevers
A99	unspecified viral haemorrhagic fever	unspecified viral haemorrhagic fever	viral haemorrhagic fever
B00	"herpesviral [herpes simplex] infections;eczema herpeticum;herpesviral vesicular dermatitis;herpesviral gingivostomatitis and pharyngotonsillitis;herpesviral meningitis;herpesviral encephalitis;herpesviral ocular disease;disseminated herpesviral disease;other forms of herpesviral infection;herpesviral infection, unspecified"	herpesviral [herpes simplex] infections	herpesviral [herpes simplex] infections
B01	varicella [chickenpox];varicella meningitis;varicella encephalitis;varicella pneumonia;varicella with other complications;varicella without complications	varicella [chickenpox]	varicella [chickenpox]
B02	zoster [herpes zoster];zoster encephalitis;zoster meningitis;zoster with other nervous system involvement;zoster ocular disease;disseminated zoster;zoster with other complications;zoster without complication	zoster [herpes zoster]	zoster [herpes zoster]
B03	smallpox	smallpox	smallpox
B04	monkeypox	monkeypox	monkeypox
B05	measles;measles complicated by encephalitis;measles complicated by meningitis;measles complicated by pneumonia;measles complicated by otitis media;measles with intestinal complications;measles with other complications;measles without complication	measles	measles
B06	rubella [german measles];rubella with neurological complications;rubella with other complications;rubella without complication	rubella [german measles]	rubella [german measles]
B07	viral warts	viral warts	viral warts
B08	"other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified;other orthopoxvirus infections;molluscum contagiosum;exanthema subitum [sixth disease];erythema infectiosum [fifth disease];enteroviral vesicular stomatitis with exanthem;enteroviral vesicular pharyngitis;other specified viral infections characterised by skin and mucous membrane lesions"	specified viral infections characterised by skin and mucous membrane lesions	specified viral infections characterised by skin and mucous membrane lesions
B09	unspecified viral infection characterised by skin and mucous membrane lesions	unspecified viral infection characterised by skin and mucous membrane lesions	viral infection characterised by skin and mucous membrane lesions
B15	acute hepatitis a;hepatitis a with hepatic coma;hepatitis a without hepatic coma	acute hepatitis a	acute hepatitis a
B16	acute hepatitis b;acute hepatitis b with delta-agent (coinfection) with hepatic coma;acute hepatitis b with delta-agent (coinfection) without hepatic coma;acute hepatitis b without delta-agent with hepatic coma;acute hepatitis b without delta-agent and without hepatic coma	acute hepatitis b	acute hepatitis b
B17	"other acute viral hepatitis;acute delta-(super) infection of hepatitis b carrier;acute hepatitis c;acute hepatitis e;other specified acute viral hepatitis;acute viral hepatitis, unspecified"	acute viral hepatitis	acute viral hepatitis
B18	"chronic viral hepatitis;chronic viral hepatitis b with delta-agent;chronic viral hepatitis b without delta-agent;chronic viral hepatitis c;other chronic viral hepatitis;chronic viral hepatitis, unspecified"	chronic viral hepatitis	chronic viral hepatitis
B19	unspecified viral hepatitis;unspecified viral hepatitis with coma;unspecified viral hepatitis without coma	unspecified viral hepatitis	viral hepatitis
B20	human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases;hiv disease resulting in mycobacterial infection;hiv disease resulting in other bacterial infections;hiv disease resulting in cytomegaloviral disease;hiv disease resulting in other viral infections;hiv disease resulting in candidiasis;hiv disease resulting in other mycoses;hiv disease resulting in pneumocystis carinii pneumonia;hiv disease resulting in multiple infections;hiv disease resulting in other infectious and parasitic diseases;hiv disease resulting in unspecified infectious or parasitic disease	human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases	human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases
B21	"human immunodeficiency virus [hiv] disease resulting in malignant neoplasms;hiv disease resulting in kaposi's sarcoma;hiv disease resulting in burkitt's lymphoma;hiv disease resulting in other types of non-hodgkin's lymphoma;hiv disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue;hiv disease resulting in multiple malignant neoplasms;hiv disease resulting in other malignant neoplasms;hiv disease resulting in unspecified malignant neoplasm"	human immunodeficiency virus [hiv] disease resulting in malignant neoplasms	human immunodeficiency virus [hiv] disease resulting in malignant neoplasms
B22	human immunodeficiency virus [hiv] disease resulting in other specified diseases;hiv disease resulting in encephalopathy;hiv disease resulting in lymphoid interstitial pneumonitis;hiv disease resulting in wasting syndrome;hiv disease resulting in multiple diseases classified elsewhere	human immunodeficiency virus [hiv] disease resulting in specified diseases	human immunodeficiency virus [hiv] disease resulting in specified diseases
B23	"human immunodeficiency virus [hiv] disease resulting in other conditions;acute hiv infection syndrome;hiv disease resulting in (persistent) generalised lymphadenopathy;hiv disease resulting in haematological and immunological abnormalities, not elsewhere classified;hiv disease resulting in other specified conditions"	human immunodeficiency virus [hiv] disease resulting in conditions	human immunodeficiency virus [hiv] disease resulting in conditions
B24	unspecified human immunodeficiency virus [hiv] disease	unspecified human immunodeficiency virus [hiv] disease	human immunodeficiency virus [hiv] disease
B25	"cytomegaloviral disease;cytomegaloviral pneumonitis;cytomegaloviral hepatitis;cytomegaloviral pancreatitis;other cytomegaloviral diseases;cytomegaloviral disease, unspecified"	cytomegaloviral disease	cytomegaloviral disease
B26	mumps;mumps orchitis;mumps meningitis;mumps encephalitis;mumps pancreatitis;mumps with other complications;mumps without complication	mumps	mumps
B27	"infectious mononucleosis;gammaherpesviral mononucleosis;cytomegaloviral mononucleosis;other infectious mononucleosis;infectious mononucleosis, unspecified"	infectious mononucleosis	infectious mononucleosis
B30	"viral conjunctivitis;keratoconjunctivitis due to adenovirus;conjunctivitis due to adenovirus;viral pharyngoconjunctivitis;acute epidemic haemorrhagic conjunctivitis (enteroviral);other viral conjunctivitis;viral conjunctivitis, unspecified"	viral conjunctivitis	viral conjunctivitis
B33	"other viral diseases, not elsewhere classified;epidemic myalgia;ross river disease;viral carditis;retrovirus infections, not elsewhere classified;hantavirus (cardio-)pulmonary syndrome [hps] [hcps];other specified viral diseases"	"viral diseases, not elsewhere classified"	viral diseases
B34	"viral infection of unspecified site;adenovirus infection, unspecified;enterovirus infection, unspecified;coronavirus infection, unspecified;parvovirus infection, unspecified;papovirus infection, unspecified;other viral infections of unspecified site;viral infection, unspecified"	viral infection of site	viral infection of site
B35	"dermatophytosis;tinea barbae and tinea capitis;tinea unguium;tinea manuum;tinea pedis;tinea corporis;tinea imbricata;tinea cruris;other dermatophytoses;dermatophytosis, unspecified"	dermatophytosis	dermatophytosis
B36	"other superficial mycoses;pityriasis versicolor;tinea nigra;white piedra;black piedra;other specified superficial mycoses;superficial mycosis, unspecified"	superficial mycoses	superficial mycoses
B37	"candidiasis;candidal stomatitis;pulmonary candidiasis;candidiasis of skin and nail;candidiasis of vulva and vagina;candidiasis of other urogenital sites;candidal meningitis;candidal endocarditis;candidal septicaemia;candidiasis of other sites;candidiasis, unspecified"	candidiasis	candidiasis
B38	"coccidioidomycosis;acute pulmonary coccidioidomycosis;chronic pulmonary coccidioidomycosis;pulmonary coccidioidomycosis, unspecified;cutaneous coccidioidomycosis;coccidioidomycosis meningitis;disseminated coccidioidomycosis;other forms of coccidioidomycosis;coccidioidomycosis, unspecified"	coccidioidomycosis	coccidioidomycosis
B39	"histoplasmosis;acute pulmonary histoplasmosis capsulati;chronic pulmonary histoplasmosis capsulati;pulmonary histoplasmosis capsulati, unspecified;disseminated histoplasmosis capsulati;histoplasmosis capsulati, unspecified;histoplasmosis duboisii;histoplasmosis, unspecified"	histoplasmosis	histoplasmosis
B40	"blastomycosis;acute pulmonary blastomycosis;chronic pulmonary blastomycosis;pulmonary blastomycosis, unspecified;cutaneous blastomycosis;disseminated blastomycosis;other forms of blastomycosis;blastomycosis, unspecified"	blastomycosis	blastomycosis
B41	"paracoccidioidomycosis;pulmonary paracoccidioidomycosis;disseminated paracoccidioidomycosis;other forms of paracoccidioidomycosis;paracoccidioidomycosis, unspecified"	paracoccidioidomycosis	paracoccidioidomycosis
B42	"sporotrichosis;pulmonary sporotrichosis;lymphocutaneous sporotrichosis;disseminated sporotrichosis;other forms of sporotrichosis;sporotrichosis, unspecified"	sporotrichosis	sporotrichosis
B43	"chromomycosis and phaeomycotic abscess;cutaneous chromomycosis;phaeomycotic brain abscess;subcutaneous phaeomycotic abscess and cyst;other forms of chromomycosis;chromomycosis, unspecified"	chromomycosis and phaeomycotic abscess	chromomycosis and phaeomycotic abscess
B44	"aspergillosis;invasive pulmonary aspergillosis;other pulmonary aspergillosis;tonsillar aspergillosis;disseminated aspergillosis;other forms of aspergillosis;aspergillosis, unspecified"	aspergillosis	aspergillosis
B45	"cryptococcosis;pulmonary cryptococcosis;cerebral cryptococcosis;cutaneous cryptococcosis;osseous cryptococcosis;disseminated cryptococcosis;other forms of cryptococcosis;cryptococcosis, unspecified"	cryptococcosis	cryptococcosis
B46	"zygomycosis;pulmonary mucormycosis;rhinocerebral mucormycosis;gastro-intestinal mucormycosis;cutaneous mucormycosis;disseminated mucormycosis;mucormycosis, unspecified;other zygomycoses;zygomycosis, unspecified"	zygomycosis	zygomycosis
B47	"mycetoma;eumycetoma;actinomycetoma;mycetoma, unspecified"	mycetoma	mycetoma
B48	"other mycoses, not elsewhere classified;lobomycosis;rhinosporidiosis;allescheriasis;geotrichosis;penicillosis;pneumocystosis;opportunistic mycoses;other specified mycoses"	"mycoses, not elsewhere classified"	mycoses
B49	unspecified mycosis	unspecified mycosis	mycosis
B50	"plasmodium falciparum malaria;plasmodium falciparum malaria with cerebral complications;other severe and complicated plasmodium falciparum malaria;plasmodium falciparum malaria, unspecified"	plasmodium falciparum malaria	plasmodium falciparum malaria
B51	plasmodium vivax malaria;plasmodium vivax malaria with rupture of spleen;plasmodium vivax malaria with other complications;plasmodium vivax malaria without complication	plasmodium vivax malaria	plasmodium vivax malaria
B52	plasmodium malariae malaria;plasmodium malariae malaria with nephropathy;plasmodium malariae malaria with other complications;plasmodium malariae malaria without complication	plasmodium malariae malaria	plasmodium malariae malaria
B53	"other parasitologically confirmed malaria;plasmodium ovale malaria;malaria due to simian plasmodia;other parasitologically confirmed malaria, not elsewhere classified"	parasitologically confirmed malaria	parasitologically confirmed malaria
B54	unspecified malaria	unspecified malaria	malaria
B55	"leishmaniasis;visceral leishmaniasis;cutaneous leishmaniasis;mucocutaneous leishmaniasis;leishmaniasis, unspecified"	leishmaniasis	leishmaniasis
B56	"african trypanosomiasis;gambiense trypanosomiasis;rhodesiense trypanosomiasis;african trypanosomiasis, unspecified"	african trypanosomiasis	african trypanosomiasis
B57	chagas' disease;acute chagas' disease with heart involvement;acute chagas' disease without heart involvement;chagas' disease (chronic) with heart involvement;chagas' disease (chronic) with digestive system involvement;chagas' disease (chronic) with nervous system involvement;chagas' disease (chronic) with other organ involvement	chagas' disease	chagas' disease
B58	"toxoplasmosis;toxoplasma oculopathy;toxoplasma hepatitis;toxoplasma meningoencephalitis;pulmonary toxoplasmosis;toxoplasmosis with other organ involvement;toxoplasmosis, unspecified"	toxoplasmosis	toxoplasmosis
B59	pneumocystosis	pneumocystosis	pneumocystosis
B60	"other protozoal diseases, not elsewhere classified;babesiosis;acanthamoebiasis;negleriasis;other specified protozoal diseases"	"protozoal diseases, not elsewhere classified"	protozoal diseases
B64	unspecified protozoal disease	unspecified protozoal disease	protozoal disease
B65	"schistosomiasis [bilharziasis];schistosomiasis due to schistosoma haematobium [urinary schistosomiasis];schistosomiasis due to schistosoma mansoni [intestinal schistosomiasis];schistosomiasis due to schistosoma japonicum;cercarial dermatitis;other schistosomiases;schistosomiasis, unspecified"	schistosomiasis [bilharziasis]	schistosomiasis [bilharziasis]
