"Trajectory","Disease.list","Drug","X","ICD_each","Disease.Name","result_pubmed_count"
"1","['K35', 'K37', 'K56', 'K65']","Carbamoylcholine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Carbamoylcholine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Carbamoylcholine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Carbamoylcholine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trimebutine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Trimebutine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trimebutine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Trimebutine",NA,"K65","Peritonitis",2
"1","['K35', 'K37', 'K56', 'K65']","Carisoprodol",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Carisoprodol",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Carisoprodol",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Carisoprodol",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Methylphenobarbital",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Methylphenobarbital",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Methylphenobarbital",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Methylphenobarbital",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trihexyphenidyl",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Trihexyphenidyl",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trihexyphenidyl",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Trihexyphenidyl",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Cyproheptadine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Cyproheptadine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Cyproheptadine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Cyproheptadine",NA,"K65","Peritonitis",4
"1","['K35', 'K37', 'K56', 'K65']","Succinylcholine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Succinylcholine",NA,"K37","Appendicitis",9
"1","['K35', 'K37', 'K56', 'K65']","Succinylcholine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Succinylcholine",NA,"K65","Peritonitis",5
"1","['K35', 'K37', 'K56', 'K65']","Profenamine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Profenamine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Profenamine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Profenamine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dipivefrin",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Dipivefrin",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dipivefrin",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Dipivefrin",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Mivacurium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Mivacurium",NA,"K37","Appendicitis",1
"1","['K35', 'K37', 'K56', 'K65']","Mivacurium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Mivacurium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Decamethonium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Decamethonium",NA,"K37","Appendicitis",1
"1","['K35', 'K37', 'K56', 'K65']","Decamethonium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Decamethonium",NA,"K65","Peritonitis",8
"1","['K35', 'K37', 'K56', 'K65']","Pancuronium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Pancuronium",NA,"K37","Appendicitis",2
"1","['K35', 'K37', 'K56', 'K65']","Pancuronium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Pancuronium",NA,"K65","Peritonitis",1
"1","['K35', 'K37', 'K56', 'K65']","Pipecuronium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Pipecuronium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Pipecuronium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Pipecuronium",NA,"K65","Peritonitis",1
"1","['K35', 'K37', 'K56', 'K65']","Aclidinium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Aclidinium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Aclidinium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Aclidinium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Norepinephrine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Norepinephrine",NA,"K37","Appendicitis",2
"1","['K35', 'K37', 'K56', 'K65']","Norepinephrine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Norepinephrine",NA,"K65","Peritonitis",115
"1","['K35', 'K37', 'K56', 'K65']","Gallamine triethiodide",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Gallamine triethiodide",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Gallamine triethiodide",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Gallamine triethiodide",NA,"K65","Peritonitis",1
"1","['K35', 'K37', 'K56', 'K65']","Tyrothricin",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Tyrothricin",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Tyrothricin",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Tyrothricin",NA,"K65","Peritonitis",2
"1","['K35', 'K37', 'K56', 'K65']","Phenoxybenzamine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Phenoxybenzamine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Phenoxybenzamine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Phenoxybenzamine",NA,"K65","Peritonitis",4
"1","['K35', 'K37', 'K56', 'K65']","Etomidate",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Etomidate",NA,"K37","Appendicitis",1
"1","['K35', 'K37', 'K56', 'K65']","Etomidate",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Etomidate",NA,"K65","Peritonitis",3
"1","['K35', 'K37', 'K56', 'K65']","Loxapine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Loxapine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Loxapine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Loxapine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Racepinephrine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Racepinephrine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Racepinephrine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Racepinephrine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Hyoscyamine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Hyoscyamine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Hyoscyamine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Hyoscyamine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Quinidine barbiturate",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Quinidine barbiturate",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Quinidine barbiturate",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Quinidine barbiturate",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Brimonidine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Brimonidine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Brimonidine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Brimonidine",NA,"K65","Peritonitis",1
"1","['K35', 'K37', 'K56', 'K65']","Oxyphencyclimine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Oxyphencyclimine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Oxyphencyclimine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Oxyphencyclimine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Procyclidine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Procyclidine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Procyclidine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Procyclidine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Methscopolamine bromide",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Methscopolamine bromide",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Methscopolamine bromide",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Methscopolamine bromide",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Anisotropine methylbromide",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Anisotropine methylbromide",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Anisotropine methylbromide",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Anisotropine methylbromide",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine methylbromide",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine methylbromide",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine methylbromide",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine methylbromide",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dicyclomine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Dicyclomine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dicyclomine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Dicyclomine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Brompheniramine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Brompheniramine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Brompheniramine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Brompheniramine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Bethanechol",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Bethanechol",NA,"K37","Appendicitis",1
"1","['K35', 'K37', 'K56', 'K65']","Bethanechol",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Bethanechol",NA,"K65","Peritonitis",1
"1","['K35', 'K37', 'K56', 'K65']","Mepenzolate",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Mepenzolate",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Mepenzolate",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Mepenzolate",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Pizotifen",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Pizotifen",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Pizotifen",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Pizotifen",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Hexocyclium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Hexocyclium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Hexocyclium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Hexocyclium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Homatropine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Thonzylamine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Thonzylamine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Thonzylamine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Thonzylamine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Oxyphenonium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Oxyphenonium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Oxyphenonium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Oxyphenonium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Pirenzepine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Pirenzepine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Pirenzepine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Pirenzepine",NA,"K65","Peritonitis",2
"1","['K35', 'K37', 'K56', 'K65']","Clidinium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Clidinium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Clidinium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Clidinium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Propantheline",NA,"K35","Acute appendicitis NOS (disorder)",0
